DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;;;;;;;;;;
26/11/1983;117;115;city;Youpe Amadi;;40540;héloise;19/07/2014;JLF;;;;;;;;;;
27/11/1983;154;129;population;Ambidedi;2427;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;64;60;population;Badi Nieriko;476;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;116;147;population;Bakel;6568;;à partir de centenalEvents.9d;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;75;96;population;Bala;1015;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;128;137;population;Ballou;6790;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;147;29;population;Bembou;790;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;114;61;population;Boutougoufara;868;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;135;54;population;Bransan;939;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;73;53;population;Dar Salam;716;;wiki;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;69;57;population;Dialacoto;2326;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;103;78;population;Dianke Makha;1049;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;123;94;population;Dide Gassama;450;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;79;51;population;Dienou Diala;787;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;102;90;population;Dieylani;748;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;107;101;population;Doulouyabe;480;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;140;6;population;Fongolimbi;800;;http://www.geradsn.org/etudes/edb/pectac2/Etude_base_Fongolimbi.pdf;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;101;106;population;Goudiry;5001;;http://fr.wikipedia.org/wiki/Goudiry;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;44;65;population;Gouloumbou;820;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;75;78;population;Goumbayel;1278;;http://www.pepam.gouv.sn/acces.php?idloc=05113011;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;115;142;population;Gouniang;735;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
27/11/1983;173;121;population;Kayes;50327;;à partir de centenalEvents.9d;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;131;13;population;Kedougou;7723;;à partir de centenalEvents.9d;15/05/2015;J. Le Fur;;;;;;;;;;
27/11/1983;142;47;population;Khossanto;1186;;P.Handschumacher;02/06/2015;JLF;;;;;;;;;;
