X;Y;X_COORD;Y_COORD;ADMI4;ADMI5;TOPONYMIE;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;ID_3;NAME_3;ID_4;NAME_4;VARNAME_4;CCN_4;CCA_4;TYPE_4;ENGTYPE_4;Code_uniqu;urban_popR;urban_popD;urban_popA;urban_popC;urban_popP;urban_po_1;urban_po_2;urban_po_3;urban_po_4;urban_po_5;urban_po_6;urban_po_7;urban_po_8;CU_ville;X_wgs84;Y_wgs84
-16.23274827;14.75550817;367312;1631648;2225;2225003;Guinte Matar;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;69;Toure Mbonde;;322020;3220205;Commune;Commune;Diourbel/Diourbel/Ndoulo/Toure Mbonde;Diourbel;Diourbel;Ndoulo;CR TOURE MBONDE;;;;;;;;;;;;
-16.21665241;14.75430079;369044;1631505;2225;2225034;Thiareme Diama;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;69;Toure Mbonde;;322020;3220205;Commune;Commune;Diourbel/Diourbel/Ndoulo/Toure Mbonde;Diourbel;Diourbel;Ndoulo;CR TOURE MBOND;;;;;;;;;;;;
-16.17510306;14.76679173;373524;1632863;2225;2225012;Loyene;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;69;Toure Mbonde;;322020;3220205;Commune;Commune;Diourbel/Diourbel/Ndoulo/Toure Mbonde;Diourbel;Diourbel;Ndoulo;CR TOURE MBONDE;6315;9;;;;;;;;;;
-16.63419612;14.75702243;324094;1632091;10234;10234097;Yary Dakhar;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;30425;4;;;;;;;;;
-16.70086053;14.75536645;316915;1631961;10231;10231010;Keur Farang Fall;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;387;Ndieyene Sirakh;;722020;7220201;Commune;Commune;Thies/Thies/Thienaba/Ndieyene Sirakh;Thies;Thies;Thieneba;CR NDIEYENE ;;;;;;;;;;;;
-16.6411129;14.75418062;323347;1631782;10234;10234044;Ndiakhou;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;30425;4318;;;;;;;;;
-16.7605819;14.75340991;310483;1631794;7233;7233013;Keur Khole (Ndiouffene;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;389;Thienaba;;722020;7220203;Commune;Commune;Thies/Thies/Thienaba/Thienaba;Thies;Thies;Thieneba;CR THIENEBA;9941;13022;;;;;;;;;;
-16.6450236;14.75425223;322926;1631793;10234;10234078;Peulh;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;30425;43182.1;;;;;;;;;
-16.91086033;14.75202657;294300;1631773;10212;10212025;Leona Niang;201;SEN;Senegal;13;Thies;41;Thies;106;Keur Moussa;383;Fandene;;722030;7220302;Commune;Commune;Thies/Thies/Keur Moussa/Fandene;Thies;Thies;Keur Moussa;CR FANDENE;8872;11548;16;;;;;;;;;
-16.1462566;14.75774317;376624;1631846;2221;2221022;Mbeye Wokane;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;65;Ndoulo;;322020;3220201;Commune;Commune;Diourbel/Diourbel/Ndoulo/Ndoulo;Diourbel;Diourbel;Ndoulo;CR NDOULO;7787;9582;12037.02;;;;;;;;;
-16.14029816;14.75702234;377265;1631763;2221;2221028;Ndienghene Thiouthie;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;65;Ndoulo;;322020;3220201;Commune;Commune;Diourbel/Diourbel/Ndoulo/Ndoulo;Diourbel;Diourbel;Ndoulo;CR NDOULO;7787;9582;;;;;;;;;;
-16.03473812;14.75702184;388628;1631708;2321;2321014;Darou Khoudoss III;201;SEN;Senegal;2;Diourbel;7;Mbacke;17;Ndame;78;Dalla Ngabou;;332020;3320201;Commune;Commune;Diourbel/Mbacke/Ndame/Dalla Ngabou;Diourbel;Mbacke;Ndame;CR DALLA NGABOU;675;;;;;;;;;;;
-16.66947696;14.7528658;320292;1631659;10231;10231028;Ngodiane;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;387;Ndieyene Sirakh;;722020;7220201;Commune;Commune;Thies/Thies/Thienaba/Ndieyene Sirakh;Thies;Thies;Thieneba;CR NDIEYENE SIRAKH;1;;;;;;;;;;;
-16.73669536;14.75229823;313054;1631651;7232;7232014;Sine;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;388;Ngoudiane;;722020;7220202;Commune;Commune;Thies/Thies/Thienaba/Ngoudiane;Thies;Thies;Thieneba;CR NGOUDIANE;10595;15213;21591.80298;;;;;;;;;
-16.02877434;14.76105325;389272;1632151;2321;2321013;Darou Khafor;201;SEN;Senegal;2;Diourbel;7;Mbacke;17;Ndame;78;Dalla Ngabou;;332020;3320201;Commune;Commune;Diourbel/Mbacke/Ndame/Dalla Ngabou;Diourbel;Mbacke;Ndame;CR DALLA NGABOU;6758;6809;;;;;;;;;;
-16.649462;14.75286488;322447;1631643;10231;10231021;Ndie Ngom;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;390;Touba Toul;;722020;7220204;Commune;Commune;Thies/Thies/Thienaba/Touba Toul;Thies;Thies;Thieneba;CR TOUBA TOUL;22558;30425;431;;;;;;;;;
-16.14182032;14.76566596;377106;1632720;2221;2221045;Thiouthie Wokane;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;65;Ndoulo;;322020;3220201;Commune;Commune;Diourbel/Diourbel/Ndoulo/Ndoulo;Diourbel;Diourbel;Ndoulo;CR NDOULO;7787;9582;1203;;;;;;;;;
