X;Y;X_COORD;Y_COORD;ADMI4;ADMI5;TOPONYMIE;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;ID_3;NAME_3;ID_4;NAME_4;VARNAME_4;CCN_4;CCA_4;TYPE_4;ENGTYPE_4;Code_uniqu;urban_popR;urban_popD;urban_popA;urban_popC;urban_popP;urban_po_1;urban_po_2;urban_po_3;urban_po_4;urban_po_5;urban_po_6;urban_po_7;urban_po_8;CU_ville;X_wgs84;Y_wgs84
-16.54412374;14.78651996;333814;1635286;2122;2122015;Mbalmy;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;52;Lambaye;;312020;3120202;Commune;Commune;Diourbel/Bambey/Lambaye/Lambaye;Diourbel;Bambey;Lambaye;CR LAMBAYE;15640;22568;28272.7575;;;;;;;;;
-16.48197395;14.79036234;340507;1635666;2122;2122010;Keur Samba Goundaw;201;SEN;Senegal;2;Diourbel;5;Bambey;12;Lambaye;52;Lambaye;;312020;3120202;Commune;Commune;Diourbel/Bambey/Lambaye/Lambaye;Diourbel;Bambey;Lambaye;CR LAMBAYE;15640;22568;;;;;;;;;;
-16.1972034;14.79384245;371161;1635868;2214;2214022;Ndeme Sarr;201;SEN;Senegal;2;Diourbel;6;Diourbel;14;Ndindy;62;Ndindy;;322010;3220103;Commune;Commune;Diourbel/Diourbel/Ndindy/Ndindy;Diourbel;Diourbel;Ndindy;CR NDINDY;12450;13365;16789.27;;;;;;;;;
-16.92592945;14.78964878;292713;1635950;10212;10212000;Thies;201;SEN;Senegal;13;Thies;41;Thies;110;Thies Sud;393;Thies Ouest;;723012;7230122;Commune;Commune;Thies/Thies/Thies Sud/Thies Ouest;;;;;;;;;;;;;;Thies/Thies/Thies Sud/Thies Ouest/Thi;;
-16.82502498;14.78674605;303574;1635538;7233;7233010;Keur Demba Anta;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;389;Thienaba;;722020;7220203;Commune;Commune;Thies/Thies/Thienaba/Thienaba;Thies;Thies;Thieneba;CR THIENEBA;9941;13022;18482;;;;;;;;;
-16.283347;14.79035996;361887;1635534;2215;2215032;Santhiou Mbambe;201;SEN;Senegal;2;Diourbel;6;Diourbel;14;Ndindy;63;Taiba Moutoupha;;322010;3220105;Commune;Commune;Diourbel/Diourbel/Ndindy/Taiba Moutoupha;Diourbel;Diourbel;Ndindy;CR TAIB;;;;;;;;;;;;
-16.27918477;14.79035597;362335;1635531;2215;2215002;Darou Salam;201;SEN;Senegal;2;Diourbel;6;Diourbel;14;Ndindy;63;Taiba Moutoupha;;322010;3220105;Commune;Commune;Diourbel/Diourbel/Ndindy/Taiba Moutoupha;Diourbel;Diourbel;Ndindy;CR TAIBA MOU;;;;;;;;;;;;
-16.27502258;14.79036093;362783;1635529;2215;2215017;Ndeuguegne;201;SEN;Senegal;2;Diourbel;6;Diourbel;14;Ndindy;63;Taiba Moutoupha;;322010;3220105;Commune;Commune;Diourbel/Diourbel/Ndindy/Taiba Moutoupha;Diourbel;Diourbel;Ndindy;CR TAIBA MOU;;;;;;;;;;;;
-16.26113296;14.79035595;364278;1635520;2215;2215004;Galle Babanar;201;SEN;Senegal;2;Diourbel;6;Diourbel;14;Ndindy;63;Taiba Moutoupha;;322010;3220105;Commune;Commune;Diourbel/Diourbel/Ndindy/Taiba Moutoupha;Diourbel;Diourbel;Ndindy;CR TAIBA ;;;;;;;;;;;;
-16.72872415;14.78719872;313942;1635506;7233;7233028;Ndane;201;SEN;Senegal;13;Thies;41;Thies;108;Thienaba;389;Thienaba;;722020;7220203;Commune;Commune;Thies/Thies/Thienaba/Thienaba;Thies;Thies;Thieneba;CR THIENEBA;9941;13022;18482.11782;;;;;;;;;
-16.15001398;14.79035823;376238;1635456;2221;2221040;Tawa Mbayard;201;SEN;Senegal;2;Diourbel;6;Diourbel;15;Ndoulo;65;Ndoulo;;322020;3220201;Commune;Commune;Diourbel/Diourbel/Ndoulo/Ndoulo;Diourbel;Diourbel;Ndoulo;CR NDOULO;7787;9582;12037.02;;;;;;;;;
