ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
0109;-14.431044251700591;16.485733022092766;19:00;FEED;diner;cour
0109;-14.431044251700591;16.485733022092766;21:00;STILL;palabrer;cour 
0109;-14.43092228409509;16.4858747231437;23:00;REST;Dormir;chambre
0110;-14.431005373044476;16.485786065548993;06:00;STILL;priére;cour
0110;233;186;07:00;STILL;aller au champ;Champ
0110;-14.431044251700591;16.485733022092766;10:00;REST;Repos;cour
0110;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner;Cour
0110;233;186;15:00;STILL;aller au champ;Champ
0110;-14.431044251700591;16.485733022092766;17:00;REST;Repos;cour
0110;-14.431001164892983;16.485844886480038;20:00;STILL;regarder la télé;salon
0110;-14.4309357717267;16.48584998213261;22:00;REST;Dormir;chambre
0111;-14.431005373044476;16.485786065548993;06:00;WANDER;priére+ préparatif;cour
0111;233;0;07:40;STILL;aller à l'école;School
0111;-14.431057550389154;16.485813861639162;13:00;WANDER;tache ménagére;cour
0111;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner;Cour
0111;-14.431057550389154;16.485813861639162;15:00;WANDER;tâche ménagére;cour  
0111;-14.431044251700591;16.485733022092766;15:30;REST;Dormir;cour
0111;-14.431037564447534;16.485647282014458;17:00;WANDER;remplir les canaris;cour
0111;-14.431044251700591;16.485733022092766;18:00;REST;repos;cour (302)
0111;-14.431199589261642;16.48570823922137;21:00;REST;Dormir;chambre
0117;-14.431005373044476;16.485786065548993;05:00;STILL;Priére;cour
0117;-14.431005373044476;16.485786065548993;06:00;REST;Dormir;cour
0117;-14.432537012494818;16.486079958910953;09:00;WANDER;aller au marché;marché
0117;-14.431044251700591;16.485733022092766;17:00;STILL;palaber;cour
0117;-14.430921309395904;16.48576660786041;22:00;REST;Dormir;chambre
0201;-14.43042985438624;16.48596769672363;05:00;STILL;priére;cour
0201;-14.430419125550335;16.48600370389959;05:30;REST;Dormir;veranda
0201;-14.430550553790187;16.485975412547614;10:00;REST;Repos;cour
0201;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
0201;-14.430550553790187;16.485975412547614;15:00;STILL;palabrer;cour
0201;-14.430550553790187;16.485975412547614;17:00;STILL;palabrer;cour
0201;-14.430376210206708;16.486024279425695;22:00;REST;Dormir;chambre (300)
0202;-14.430389621251589;16.486021707485047;00:00;REST;Dormir;chambre (301)
0202;-14.430550553790187;16.485975412547614;11:00;FEED;petit dejeuner;cour
0202;-14.432520041617655;16.486061368693242;11:30;WANDER;aller au marché;marché
0202;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
0202;-14.430550553790187;16.485975412547614;15:00;REST;Dormir;cour
0202;-14.43042985438624;16.48596769672363;17:00;WANDER;palaber;cour
0203;-14.430464723102935;16.486068002411425;09:00;WANDER;tache ménagére;cour
0203;-14.432617839408312;16.485932471353678;10:00;WANDER;aller au marché;marché
0203;-14.430550553790187;16.485975412547614;11:00;REST;repos;cour
0203;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
0203;-14.430550553790187;16.485975412547614;15:00;STILL;palabrer;cour
0203;-14.43042985438624;16.48596769672363;17:00;WANDER;faire le thé;cour
0203;-14.43042985438624;16.48596769672363;20:00;STILL;regarder la télé;cour 
0203;-14.43042985438624;16.48596769672363;21:00;FEED;Diner;cour
0203;-14.430381574624663;16.485972840606323;22:00;REST;Dormir;chambre
0204;-14.43042985438624;16.48596769672363;07:00;FEED;Petit dejeuner;cour
0204;233;0;07:40;STILL;aller à l'école;School
0204;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
