DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;COMMENT
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;M;;SEN - Pekh Tall - 15.449717N16.406750W -  2 (Pekh Tall)
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;F;;SEN - Pekh Tall - 15.449717N16.406750W -  2 (Pekh Tall)
31/12/1998;-16.4;15.5;Gerbillus_nigeriae;F;;SEN - Ndièye ndiaye - 15.453267N16.424050W -  2 (Ndièye ndiaye)
31/12/1998;-16.4;15.5;Gerbillus_nigeriae;M;;SEN - Ndièye ndiaye - 15.453267N16.424050W -  2 (Ndièye ndiaye)
31/12/1998;-16.4;15.7;Gerbillus_nigeriae;M;;SEN - Ndiambé Fall - 15.701967N16.402700W -  2 (Ndiambé Fall)
31/12/1998;-16.4;15.7;Gerbillus_nigeriae;F;;SEN - Ndiambé Fall - 15.701967N16.402700W -  2 (Ndiambé Fall)
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;M;;SEN - Pekh Tall - 15.449717N16.406750W -  2 (Pekh Tall)
31/12/1998;-16.4;15.7;Gerbillus_nigeriae;M;;SEN - Mbaye-Mbaye - 15.684217N16.370583W -  2 (Mbaye-Mbaye)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;M;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;M;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;M;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;F;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;F;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;F;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;M;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.4;15.7;Gerbillus_nigeriae;F;;SEN - Ndiambé Fall - 15.701967N16.402700W -  2 (Ndiambé Fall)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;F;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;F;;SEN - Diapal - 15.647450N16.317833W -  2 (Diapal)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;M;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;M;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;M;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;M;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.3;15.6;Gerbillus_nigeriae;M;;SEN - Diapal Sarr - 15.647450N16.317833W -  2 (Diapal Sarr)
31/12/1998;-16.4;16.1;Gerbillus_nigeriae;F;;SEN - Mbarigo Keur Moctar - 16.093250N16.350217W -  2 (Mbarigo Keur Moctar)
31/12/1998;-16.3;16.1;Gerbillus_nigeriae;M;;SEN - Lampsar Peulh - 16.087967N16.341633W -  2 (Lampsar Peulh)
31/12/1998;-16.3;16.1;Gerbillus_nigeriae;F;;SEN - Lampsar Peulh - 16.087967N16.341633W -  2 (Lampsar Peulh)
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;F;;SEN - Pekh Tall - 15.438050N16.396277W - 2
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;F;;SEN - Pekh Tall - 15.438050N16.396277W - 2
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;M;;SEN - Pekh Tall - 15.441050N16.397027W - 2
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;F;;SEN - Pekh Tall - 15.441050N16.397027W - 2
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;M;;SEN - Pekh Tall - 15.441050N16.397027W - 2
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;M;;SEN - Pekh Tall - 15.411183N16.398600W - 2
31/12/1998;-16.4;15.4;Gerbillus_nigeriae;F;;SEN - Pekh Tall - 15.446943N16.400833W - 2
