ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
H0508;-14.4299267;16.48557586;13:00;WANDER;tache m‚nag‚re;cour
H0508;-14.4299267;16.48557586;14:00;FEED;d‚jeuner;Cour
H0508;233;0;15:00;STILL;aller … l'‚cole;School
H0508;-14.4299267;16.48557586;18:00;WANDER;tache m‚nag‚re;cour
H0508;-14.42981673;16.48564016;19:00;REST;repos;cour
H0508;-14.42967857;16.48568471;22:00;REST;Dormir;chambre
H1112;-14.43231683;16.4848127;07:00;WANDER;aller travailler;atelier (362)
H1112;-14.42790929;16.48617969;20:00;WANDER;donner … manger au b‚tail;Maison 205
H1112;-14.42790929;16.48617969;21:00;STILL;regarder la t‚l‚;maison 205
H1112;-14.42794214;16.48610446;22:00;REST;dormir;chambre
H1113;-14.43231683;16.4848127;07:00;WANDER;aller travailler;atelier (362)
H1113;-14.42790929;16.48617969;20:00;WANDER;donner … manger au b‚tail;maison 205
H1113;-14.42790929;16.48617969;21:00;STILL;regarder la t‚l‚;maison 205
H1113;-14.42794013;16.4860363;22:00;REST;dormir;chambre
H1114;-14.42790929;16.48617969;05:00;STILL;pri‚re;maison 205
H1114;-14.42790929;16.48617969;05:30;STILL;regarder la t‚l‚;maison 205
H1114;-14.43231683;16.4848127;08:00;WANDER;aller au travail;atelier (362)
H1114;-14.42790929;16.48617969;20:00;WANDER;donner … manger au b‚tail;maison 205
H1114;-14.42801121;16.48612825;21:00;STILL;regarder la t‚l‚;cour
H1114;-14.42798908;16.48605816;22:00;REST;dormir;chambre
H1303;65;11;06:00;STILL;prier;Mosqu‚e
H1303;-14.43148936;16.4851149;06:30;REST;Dormir;chambre (329)
H1303;233;186;09:00;STILL;aller au champ;Champ
H1303;-14.43156312;16.485221;13:00;REST;repos;cour
H1303;-14.43156312;16.485221;14:00;FEED;d‚jeuner;cour
H1303;-14.43148266;16.48517213;14:30;WANDER;faire le th‚;Veranda
H1303;-14.43148936;16.4851149;16:00;REST;repos;chambre
H1303;-14.4340579;16.48512556;17:00;WANDER;aller au terrain;terrain 
H1303;-14.43156312;16.485221;19:00;REST;repos;cour
H1303;-14.43128283;16.4858254;20:00;WANDER;Visiter ses amis;village
H1303;-14.43148936;16.4851149;23:00;REST;Dormir;chambre
H1304;-14.43148266;16.48517213;00:00;REST;dormir;veranda
H1304;-14.43151216;16.48514641;07:00;STILL;priere;chambre
H1304;-14.43151216;16.48514641;07:30;REST;dormir;chambre
