DATE EVENT;X;Y;EVENT;VALUES_1;VALUES_2;COMMENTS;
09/11/2016;-14.4302839;16.48594992;Human;0301_AmathBâ;M:75;;
09/11/2016;-14.43017268;16.48576839;Human;0302_DieynaBaSow;F:50;;
09/11/2016;-14.43014208;16.48578065;Human;0303_OudouyaLy;F:28;;
09/11/2016;-14.43014208;16.48578065;Human;0304_MamadouBâ;M:34;;
09/11/2016;-14.43020288;16.48582229;Human;0305_CoumbaSow;F:26;;
09/11/2016;-14.43020288;16.48582229;Human;0306_OumarDjibyBâ;M:27;;
09/11/2016;-14.43020288;16.48582229;Human;0307_CoumbaBâ;F:12;;
09/11/2016;-14.43017103;16.485764;Human;0308_FatoumataBâ;F:15;;
09/11/2016;-14.42945451;16.48601336;Human;0401_BaïdySall;M:51;;
09/11/2016;-14.42945451;16.48601336;Human;0402_BintaSall;F:37;;
09/11/2016;-14.42942379;16.48602338;Human;0403_MamadouSeydouLy;M:47;;
09/11/2016;-14.42942379;16.48602338;Human;0404_FadoumaSall;F:25;;
09/11/2016;-14.42952973;16.48600474;Human;0405_KadiaSall;F:31;;
09/11/2016;-14.42949072;16.48600179;Human;0406_MaliSall;F:83;;
09/11/2016;-14.42945597;16.48601374;Human;0407_AïssatouBaïdySall;F:11;;
09/11/2016;-14.42953309;16.48599895;Human;0408_MamadouDembaSall;M:25;;
09/11/2016;-14.42983413;16.48556383;Human;0502_CoumbaBâ;F:70;;
09/11/2016;-14.42969332;16.48572072;Human;0503_TackoDia;F:20;;
09/11/2016;-14.42988898;16.48550044;Human;0505_CoumbaNdiaye;F:30;;
09/11/2016;-14.43008626;16.4855394;Human;0506_MamadouDiallo;M:40;;
09/11/2016;-14.42992922;16.48548565;Human;0507_BocarThiam;M:38;;
09/11/2016;-14.42967857;16.48568471;Human;0508_KadiataGuissé;F:7;;
09/11/2016;-14.43039123;16.48475908;Human;0701_AmadouSadioNdiaye;M:47;;
09/11/2016;-14.43049181;16.48503813;Human;0702_CoumbaLaam;F:40;;
09/11/2016;-14.43051729;16.48469735;Human;0703_FamaNdiaye;F:30;;
09/11/2016;-14.43114091;16.48476422;Human;0901_AïssataAbouDia;F:52;;
09/11/2016;-14.43117443;16.484752;Human;0903_MariameDia;F:31;;
09/11/2016;-14.43188262;16.48489477;Human;1001_AmadouSy;M:17;;
09/11/2016;-14.43182361;16.48470444;Human;1002_MamadouNdiaye;M:22;;
09/11/2016;-14.43182361;16.48470444;Human;1003_TidianeDiallo;M:15;;
09/11/2016;-14.43182361;16.48470444;Human;1004_MamadouDiagne;M:14;;
09/11/2016;-14.43182361;16.48470444;Human;1005_Mamadoumacina;M:23;;
09/11/2016;-14.43182361;16.48470444;Human;1006_SambaDia;M:17;;
09/11/2016;-14.43140218;16.48601614;Human;1007_AllaDiop;M:35;;
09/11/2016;-14.43241942;16.48498373;Human;1101_AdamaMamadouBa;M:26;;
09/11/2016;-14.43171199;16.48670308;Human;1102_DjibyDiaw;M:33;;
09/11/2016;-14.42890506;16.48704257;Human;1103_AliouBa;M:35;;
09/11/2016;-14.43234633;16.48486671;Human;1104_SeggaSambou;M:28;;
09/11/2016;-14.4314156;16.48600351;Human;1105_PapeSambou;M:19;;
09/11/2016;-14.43239126;16.48493358;Human;1106_AbdoulayeLy;M:45;;
09/11/2016;-14.42689541;16.48762768;Human;1107_MariémeNiang;F:33;;
09/11/2016;-14.43233627;16.4848397;Human;1108_Awafaye;F:36;;
09/11/2016;-14.43256024;16.48478698;Human;1109_Anonyme;M:36;;
09/11/2016;-14.43243417;16.48501717;Human;1110_OumarThiam;M:36;;
09/11/2016;-14.42797835;16.48609996;Human;1111_Cheikhthiogane;M:48;;
09/11/2016;-14.43231683;16.4848127;Human;1112_Mamadouthiogane;M:13;;
09/11/2016;-14.43231683;16.4848127;Human;1113_AlassaneNdiaye;M:12;;
09/11/2016;-14.43231683;16.4848127;Human;1114_Adamadiagana;M:11;;
09/11/2016;-14.43229939;16.48478119;Human;1115_SileymaneMacina;M:37;;
09/11/2016;-14.43229939;16.48478119;Human;1116_AbouLaam;M:42;;
09/11/2016;-14.43139415;16.48518177;Human;1301_MaïrameSall;F:33;;
09/11/2016;-14.43145114;16.48514384;Human;1302_AgriculteurDia;F:25;;
09/11/2016;-14.43148936;16.4851149;Human;1303_NdiayeSall;M:24;;
09/11/2016;-14.43151216;16.48514641;Human;1304_AïssataSall;F:11;;
09/11/2016;-14.42464034;16.48703807;Human;13801_AwaAbouDia;F:22;;
09/11/2016;-14.42463632;16.48705736;Human;13802_MamadouAbouDia;M:25;;
09/11/2016;-14.42465644;16.48708951;Human;13803_FamaAbouDia;F:31;;
09/11/2016;-14.42465644;16.48708951;Human;13804_MarémeThiam;F:45;;
09/11/2016;-14.42462559;16.48703807;Human;13805_MamadouDia;M:20;;
09/11/2016;-14.43254347;16.48518499;Human;1401_NgagneGadio;M:50;;
09/11/2016;-14.4327728;16.48504096;Human;1402_NgagneGadio;M:17;;
09/11/2016;-14.43253882;16.48524057;Human;1403_MamadouAmadouSall;M:43;;
09/11/2016;-14.43260521;16.48533445;Human;1404_PapeSarr;M:14;;
09/11/2016;-14.43258911;16.48530808;Human;1405_SyBoucher;M:41;;
09/11/2016;-14.43265952;16.48543604;Human;1406_MountagaMar;M:35;;
09/11/2016;-14.43265952;16.48543604;Human;1407_AliouBa;M:24;;
09/11/2016;-14.43265952;16.48543604;Human;1408_AmadouSall;M:26;;
09/11/2016;-14.43265952;16.48543604;Human;1409_SambaSy;M:23;;
09/11/2016;-14.43257637;16.48531258;Human;1410_Anonymat;M:35;;
09/11/2016;-14.43227395;16.48543861;Human;1411_AbdaDia;M:26;;
09/11/2016;-14.43219539;16.48541298;Human;1501_AïchaBâ;F:25;;
09/11/2016;-14.4320358;16.48567275;Human;1502_BinetaNdiaye;F:25;;
09/11/2016;-14.43214109;16.48577977;Human;1503_AbdouSy;M:22;;
09/11/2016;-14.43211024;16.48569296;Human;1504_IdySy;M:21;;
09/11/2016;-14.43214109;16.48577977;Human;1505_MouhamadouDiallo;M:30;;
09/11/2016;-14.43243345;16.48564795;Human;1506_GogoPam;F:46;;
09/11/2016;-14.43229463;16.48542327;Human;1507_SouleymaneLy;M:60;;
09/11/2016;-14.4323342;16.48570068;Human;1508_AlassaneDia;M:31;;
09/11/2016;-14.4323342;16.48570068;Human;1509_AdamaDia;M:25;;
09/11/2016;-14.43230202;16.48571354;Human;1513_OumarSeydouSall;M:30;;
09/11/2016;-14.43230202;16.48571354;Human;1515_OumarSall;M:15;;
09/11/2016;-14.43230202;16.48571354;Human;1516_BoyeHann;F:15;;
09/11/2016;-14.43230202;16.48571354;Human;1517_HabyAliBâ;F:20;;
09/11/2016;-14.43241869;16.48561838;Human;1518_AmadouThiam;M:35;;
09/11/2016;-14.42371673;16.48912823;Human;15301_AguibouWele;M:47;;
09/11/2016;-14.42371673;16.48912823;Human;15302_NdeyeRokhayaThiam;F:47;;
09/11/2016;-14.42373702;16.48916435;Human;15303_MameDiarraWele;F:20;;
09/11/2016;-14.4318329;16.4856663;Human;1601_Cheikhoumountagatall;M:53;;
09/11/2016;-14.43185972;16.4856483;Human;1602_MoussaSarr;M:51;;
09/11/2016;-14.43198659;16.48584874;Human;1603_ZeyniNdiaye;M:24;;
09/11/2016;-14.43198659;16.48584874;Human;1604_OusmaneDiallo;M:28;;
09/11/2016;-14.43198659;16.48584874;Human;1605_DembaGaye;M:20;;
09/11/2016;-14.43198659;16.48584874;Human;1606_BarroMbaye;M:35;;
09/11/2016;-14.42987647;16.48713018;Human;2001_OumouHannDiop;F:18;;
09/11/2016;-14.42978661;16.48695786;Human;2002_HawaMamadouThiam;F:20;;
09/11/2016;-14.42988585;16.48717519;Human;2003_DieynaBaThiam;F:8;;
09/11/2016;-14.4298644;16.48723949;Human;2004_SawdatouThiam;F:13;;
09/11/2016;-14.42975308;16.48708003;Human;2005_AïssatouThiam;F:9;;
09/11/2016;-14.42954217;16.48710796;Human;2101_KhardiataMalickSall;F:64;;
09/11/2016;-14.42955156;16.48713497;Human;2102_TackoHamadineSall;F:22;;
09/11/2016;-14.4292704;16.48729282;Human;2103_HamadineOuleySall;M:33;;
09/11/2016;-14.42958106;16.48727771;Human;2104_MamadouSall;M:18;;
09/11/2016;-14.42958106;16.48733815;Human;2105_AïssataCheikhDia;F:17;;
09/11/2016;-14.4327796;16.48563425;Human;2601_OumarMamadouSow;M:25;;
09/11/2016;-14.43107572;16.48687135;Human;2701_AlassaneNdiaye;M:45;;
09/11/2016;-14.43220091;16.4854645;Human;2702_MamadouNourouNiang;M:26;;
09/11/2016;-14.43323624;16.48537319;Human;2703_AmadouAliouSambou;M:22;;
09/11/2016;-14.43323624;16.48537319;Human;2704_MalalAbouBa;M:26;;
09/11/2016;-14.43323624;16.48537319;Human;2705_BabiNiang;M:17;;
09/11/2016;-14.43357085;16.4853314;Human;2706_MamadouMacina;M:66;;
09/11/2016;-14.43363187;16.48533076;Human;2707_AïssataGuissé;F:47;;
