DATE EVENT;X;Y;EVENT;VALUES_1;VALUES_2;COMMENTS;
06/11/2018;-14.433667;16.486887;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.433767;16.487155;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.437356;16.490034;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.439471;16.485447;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2018;-14.446097;16.490266;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2018;-14.432438;16.485521;Tick;10;;2020.11.10 M.Sall ;
06/11/2018;-14.432468;16.485534;Tick;1;;2020.11.10 M.Sall ;
06/11/2018;-14.42971;16.487067;Tick;2;;2020.11.10 M.Sall ;
06/11/2018;-14.432441;16.485593;Tick;1;;2020.11.10 M.Sall ;
06/11/2018;-14.432437;16.485571;Tick;11;;2020.11.10 M.Sall ;
06/11/2018;-14.423683;16.48917;Tick;30;;2020.11.10 M.Sall ;
06/11/2018;-14.459494;16.49364;Tick;4;;2020.11.10 M.Sall ;
06/11/2018;-14.433513;16.482306;Tick;1;;2020.11.10 M.Sall ;
06/11/2018;-14.436695;16.489361;Tick;4;;2020.11.10 M.Sall ;
06/11/2018;-14.436721;16.489425;Tick;1;;2020.11.10 M.Sall ;
06/11/2018;-14.436736;16.489434;Tick;3;;2020.11.10 M.Sall ;
07/11/2018;-14.42971;16.487067;Tick;2;;2020.11.10 M.Sall ;
06/11/2019;-14,432559;16,483106;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,43239;16,483006;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,4324;16,483007;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,432362;16,48312;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,432579;16,482043;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,432309;16,48223;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,433194;16,482145;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,43347;16,481472;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,433574;16,48045;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,43353;16,480482;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,432731;16,480827;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,432731;16,480827;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,43383;16,480531;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,43384;16,480532;Mus musculus;F;;2020.11.10 M.Sall ;
06/11/2019;-14,43389;16,480568;Mus musculus;M;;2020.11.10 M.Sall ;
06/11/2019;-14,43415;16,480931;Mus musculus;F;;2020.11.10 M.Sall ;
