ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS
3107;-14.433712430953555;16.486599176541628;00:00;REST;dormir ;chambre
3107;-14.433653143142768;16.486560958132102;06:00;WANDER;priere+ tache menagere;cour
3107;-14.433653143142768;16.486560958132102;10:00;FEED;petit dej;cour
3107;-14.432269466792691;16.486234559235328;10:30;WANDER;aller au marché ;marché
3107;-14.433712430953555;16.486599176541628;11:00;WANDER;magasin;magasin
3107;-14.433653143142768;16.486560958132102;11:30;STILL;palabrer ;cour
3107;-14.433653143142768;16.486560958132102;14:00;FEED;Déjeuner ;cour
3107;-14.433712430953555;16.486599176541628;15:00;REST;dormir ;chambre 380 
3107;-14.433653143142768;16.486560958132102;17:00;WANDER;preparatif diner;cour
3107;-14.433658507560722;16.48638092270357;18:00;WANDER;preparer le diner;cuisine (383)
3107;-14.433653143142768;16.486560958132102;21:00;STILL;palabrer;cour

