ID;X;Y;TIME;DESIRE;COMMENTS;
4601;-14.430774178597147;16.48832546518141;20:00;FORAGE;Manger : cour;
4601;-14.430786458859137;16.488466660544717;22:00;REST;"Dormir : TC: cour; TF: chambre";
4602;-14.430792954056336;16.488389762904685;06:00;WANDER;Priére et préparer petit déjeuner : Cour;
4602;-14.432809975235935;16.48620105575592;08:00;WANDER;Vendre du charbon : Marché;
4602;-14.430792954056336;16.488389762904685;12:00;WANDER;Préparer le déjeuner : Cuisine;
4602;-14.430774178597147;16.48832546518141;14:00;FORAGE;Manger : cour;
4602;-14.4307406509846;16.488412910103506;15:00;WANDER;Palabrer : Veranda;
4602;-14.430792954056336;16.488389762904685;18:00;WANDER;Préparer le diner : Cuisine;
4602;-14.430774178597147;16.48832546518141;21:00;REST;Repos : Cour;
4602;-14.430786458859137;16.488466660544717;23:00;REST;"Dormir : TC: cour; TF: chambre";
4603;-14.430774178597147;16.48832546518141;06:00;FORAGE;Petit déjeuner : Cour;
4603;-14.43094395162162;16.48898178428245;06:30;WANDER;Ecole coranique : Gallé Baba;
4603;-14.431184556572171;16.487445869897332;12:00;WANDER;Jouer : Cour;
4603;-14.430774178597147;16.48832546518141;14:00;FORAGE;Manger : cour;
4603;-14.430774178597147;16.48832546518141;15:00;REST;Repos : Cour;
4603;-14.43094395162162;16.48898178428245;16:00;WANDER;Ecole coranique : Gallé Baba;
4603;-14.431184556572171;16.487445869897332;18:00;WANDER;Jouer : Cour;
4603;-14.430786458859137;16.488466660544717;20:00;REST;"Dormir : TC: cour; TF: chambre";
4604;-14.430792954056336;16.488389762904685;06:00;WANDER;Prière et Tâche ménagère : Cour;
4604;-14.432531025492027;16.486185624142212;09:00;WANDER;Aller au marché : Marché;
4604;-14.430971320955669;16.488261167388078;09:30;WANDER;Préparer le déjeuner : Cuisine;
4604;-14.430774178597147;16.48832546518141;14:00;FORAGE;Manger : cour;
4604;-14.430908289044085;16.488160862836644;15:00;WANDER;Tâche ménagère : Cour;
4604;-14.430971320955669;16.488261167388078;18:00;WANDER;Préparer le diner : Cuisine;
4604;-14.430774178597147;16.48832546518141;21:00;REST;Repos : Cour;
4604;-14.430774178597147;16.48832546518141;22:00;FORAGE;Manger : cour;
4604;-14.430845769791532;16.488340586616193;23:00;REST;"Dormir : TC: cour; TF: chambre";
4605;-14.43094181665663;16.488319035374868;06:00;WANDER;Prière et petit déjeuner : Chambre;
4605;-14.431184556572171;16.487445869897332;09:00;WANDER;Jouer : Cour;
4605;-14.431184556572171;16.487445869897332;15:00;WANDER;Jouer : Cour;
4605;-14.430936329185666;16.488335646727954;21:00;REST;"Dormir : TC: cour; TF: chambre";
4606;-14.43094181665663;16.488319035374868;06:00;WANDER;Prière et petit déjeuner : Chambre;
4606;-14.431184556572171;16.487445869897332;09:00;WANDER;Jouer : Cour;
4606;-14.430774178597147;16.48832546518141;15:00;REST;Dormir : cour;
4606;-14.431184556572171;16.487445869897332;17:00;WANDER;Jouer : Cour;
