ID;X;Y;TIME;DESIRE;COMMENTS
5303;-14.432865068493568;16.488597830021604;20:00;REST;Palabrer : Cour
5303;-14.433210563277513;16.486865230049663;08:00;WANDER;Dimanche aller au marché : Marché
5303;-14.432728968882103;16.488558759094992;18:00;STILL;Dimanche regarder la télé : Chambre
5303;-14.432759556409234;16.48855869700495;21:00;FEED;Manger : Veranda
5303;-14.432728968882103;16.488558759094992;22:00;STILL;Dimanche regarder la télé : Chambre
5303;-14.432757361255431;16.488624396667824;23:00;REST;Dormir : TC: cour; TF: chambre
5304;-14.432759556409234;16.48855869700495;09:00;WANDER;Fête prière + petiit déjeuner : Veranda
5304;-14.432759556409234;16.48855869700495;10:00;REST;Fête palabrer : Veranda
5304;-14.432865068493568;16.488597830021604;14:00;FEED;Manger : cour
5304;-14.432759556409234;16.48855869700495;15:00;REST;Fête palabrer : Veranda
