DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout;
02/01/1909;56;199;river;;;69707;;18/07/2014;JLF;
02/01/1909;56;200;river;;;70057;;18/07/2014;JLF;
02/01/1909;56;201;river;;;70407;;18/07/2014;JLF;
02/01/1909;56;202;river;;;70757;;18/07/2014;JLF;
02/01/1909;56;203;river;;;71107;;18/07/2014;JLF;
02/01/1909;56;116;river;;;40657;;18/07/2014;JLF;
02/01/1909;56;117;river;;;41007;;18/07/2014;JLF;
02/01/1909;56;118;river;;;41357;;18/07/2014;JLF;
02/01/1909;56;197;river;;;69007;;18/07/2014;JLF;
02/01/1909;57;111;river;;;38908;;18/07/2014;JLF;
02/01/1909;57;112;river;;;39258;;18/07/2014;JLF;
02/01/1909;57;113;river;;;39608;;18/07/2014;JLF;
02/01/1909;57;114;river;;;39958;;18/07/2014;JLF;
02/01/1909;57;115;river;;;40308;;18/07/2014;JLF;
02/01/1909;57;118;river;;;41358;;18/07/2014;JLF;
02/01/1909;57;119;river;;;41708;;18/07/2014;JLF;
02/01/1909;57;120;river;;;42058;;18/07/2014;JLF;
02/01/1909;57;121;river;;;42408;;18/07/2014;JLF;
02/01/1909;57;122;river;;;42758;;18/07/2014;JLF;
02/01/1909;57;200;river;;;70058;;18/07/2014;JLF;
02/01/1909;57;201;river;;;70408;;18/07/2014;JLF;
02/01/1909;57;204;river;;;71458;;18/07/2014;JLF;
02/01/1909;57;205;river;;;71808;;18/07/2014;JLF;
02/01/1909;57;206;river;;;72158;;18/07/2014;JLF;
02/01/1909;57;207;river;;;72508;;18/07/2014;JLF;
02/01/1909;57;208;river;;;72858;;18/07/2014;JLF;
02/01/1909;57;209;river;;;73208;;18/07/2014;JLF;
02/01/1909;57;116;river;;;40658;;18/07/2014;JLF;
02/01/1909;57;117;river;;;41008;;18/07/2014;JLF;
02/01/1909;57;199;river;;;69708;;18/07/2014;JLF;
02/01/1909;57;202;river;;;70758;;18/07/2014;JLF;
02/01/1909;57;203;river;;;71108;;18/07/2014;JLF;
02/01/1909;57;210;river;;;73558;;18/07/2014;JLF;
02/01/1909;58;112;river;;;39259;;18/07/2014;JLF;
02/01/1909;58;113;river;;;39609;;18/07/2014;JLF;
02/01/1909;58;114;river;;;39959;;18/07/2014;JLF;
02/01/1909;58;118;river;;;41359;;18/07/2014;JLF;
02/01/1909;58;119;river;;;41709;;18/07/2014;JLF;
02/01/1909;58;120;river;;;42059;;18/07/2014;JLF;
02/01/1909;58;203;river;;;71109;;18/07/2014;JLF;
02/01/1909;58;205;river;;;71809;;18/07/2014;JLF;
02/01/1909;58;207;river;;;72509;;18/07/2014;JLF;
02/01/1909;58;208;river;;;72859;;18/07/2014;JLF;
02/01/1909;58;209;river;;;73209;;18/07/2014;JLF;
02/01/1909;58;116;river;;;40659;;18/07/2014;JLF;
02/01/1909;58;117;river;;;41009;;18/07/2014;JLF;
02/01/1909;58;121;river;;;42409;;18/07/2014;JLF;
02/01/1909;58;202;river;;;70759;;18/07/2014;JLF;
02/01/1909;58;204;river;;;71459;;18/07/2014;JLF;
02/01/1909;58;210;river;;;73559;;18/07/2014;JLF;
02/01/1909;59;113;river;;;39610;;18/07/2014;JLF;
02/01/1909;59;114;river;;;39960;;18/07/2014;JLF;
02/01/1909;59;115;river;;;40310;;18/07/2014;JLF;
02/01/1909;59;117;river;;;41010;;18/07/2014;JLF;
02/01/1909;59;122;river;;;42760;;18/07/2014;JLF;
02/01/1909;59;203;river;;;71110;;18/07/2014;JLF;
02/01/1909;59;208;river;;;72860;;18/07/2014;JLF;
02/01/1909;59;112;river;;;39260;;18/07/2014;JLF;
02/01/1909;59;116;river;;;40660;;18/07/2014;JLF;
02/01/1909;59;119;river;;;41710;;18/07/2014;JLF;
02/01/1909;59;120;river;;;42060;;18/07/2014;JLF;
02/01/1909;59;121;river;;;42410;;18/07/2014;JLF;
02/01/1909;59;202;river;;;70760;;18/07/2014;JLF;
02/01/1909;59;204;river;;;71460;;18/07/2014;JLF;
02/01/1909;59;205;river;;;71810;;18/07/2014;JLF;
02/01/1909;60;114;river;;;39961;;18/07/2014;JLF;
02/01/1909;60;115;river;;;40311;;18/07/2014;JLF;
02/01/1909;60;117;river;;;41011;;18/07/2014;JLF;
02/01/1909;60;202;river;;;70761;;18/07/2014;JLF;
02/01/1909;60;205;river;;;71811;;18/07/2014;JLF;
02/01/1909;60;213;river;;;74611;;18/07/2014;JLF;
02/01/1909;60;215;river;;;75311;;18/07/2014;JLF;
02/01/1909;60;216;river;;;75661;;18/07/2014;JLF;
02/01/1909;60;218;river;;;76361;;18/07/2014;JLF;
02/01/1909;60;113;river;;;39611;;18/07/2014;JLF;
02/01/1909;60;116;river;;;40661;;18/07/2014;JLF;
02/01/1909;60;201;river;;;70411;;18/07/2014;JLF;
02/01/1909;60;204;river;;;71461;;18/07/2014;JLF;
02/01/1909;60;212;river;;;74261;;18/07/2014;JLF;
02/01/1909;61;115;river;;;40312;;18/07/2014;JLF;
02/01/1909;61;202;river;;;70762;;18/07/2014;JLF;
02/01/1909;61;214;river;;;74962;;18/07/2014;JLF;
02/01/1909;61;217;river;;;76012;;18/07/2014;JLF;
02/01/1909;61;220;river;;;77062;;18/07/2014;JLF;
02/01/1909;61;221;river;;;77412;;18/07/2014;JLF;
02/01/1909;61;113;river;;;39612;;18/07/2014;JLF;
02/01/1909;61;116;river;;;40662;;18/07/2014;JLF;
02/01/1909;61;117;river;;;41012;;18/07/2014;JLF;
02/01/1909;61;201;river;;;70412;;18/07/2014;JLF;
02/01/1909;61;212;river;;;74262;;18/07/2014;JLF;
02/01/1909;61;213;river;;;74612;;18/07/2014;JLF;
02/01/1909;61;216;river;;;75662;;18/07/2014;JLF;
02/01/1909;62;112;river;;;39263;;18/07/2014;JLF;
02/01/1909;62;113;river;;;39613;;18/07/2014;JLF;
02/01/1909;62;209;river;;;73213;;18/07/2014;JLF;
02/01/1909;62;211;river;;;73913;;18/07/2014;JLF;
02/01/1909;62;214;river;;;74963;;18/07/2014;JLF;
02/01/1909;62;220;river;;;77063;;18/07/2014;JLF;
02/01/1909;62;221;river;;;77413;;18/07/2014;JLF;
02/01/1909;62;110;river;;;38563;;18/07/2014;JLF;
02/01/1909;62;111;river;;;38913;;18/07/2014;JLF;
02/01/1909;62;115;river;;;40313;;18/07/2014;JLF;
02/01/1909;62;116;river;;;40663;;18/07/2014;JLF;
02/01/1909;62;117;river;;;41013;;18/07/2014;JLF;
02/01/1909;62;208;river;;;72863;;18/07/2014;JLF;
02/01/1909;62;213;river;;;74613;;18/07/2014;JLF;
02/01/1909;63;117;river;;;41014;;18/07/2014;JLF;
02/01/1909;63;212;river;;;74264;;18/07/2014;JLF;
02/01/1909;63;221;river;;;77414;;18/07/2014;JLF;
02/01/1909;63;112;river;;;39264;;18/07/2014;JLF;
02/01/1909;63;116;river;;;40664;;18/07/2014;JLF;
02/01/1909;63;208;river;;;72864;;18/07/2014;JLF;
02/01/1909;63;213;river;;;74614;;18/07/2014;JLF;
02/01/1909;64;118;river;;;41365;;18/07/2014;JLF;
