ID;X;Y;TIME;DESIRE;ACTIVITY;COMMENTS;Fin;Vérification
0108;-14.431096428791916;16.485808070060582;10:00;WANDER;préparatif dejeuner; cuisine;11:00;VRAI
0108;-14.431096428791916;16.485808070060582;11:00;WANDER;préparer le dejeuner; cuisine;14:00;VRAI
0108;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner ; Cour;14:30;VRAI
0108;-14.431044251700591;16.485733022092766;14:30;WANDER;préparer le thé; cour;15:00;VRAI
0108;-14.431220540928653;16.485706304424998;15:00;REST;Dormir ; chambre (307);17:00;VRAI
0108;-14.431096428791916;16.485808070060582;17:00;WANDER;préparer le diner ; Cuisine;20:00;VRAI
0108;-14.431044251700591;16.485733022092766;20:00;FEED;diner ; cour;21:00;VRAI
0108;-14.431044251700591;16.485733022092766;21:00;STILL;palabrer; cour;00:00;VRAI
0109;-14.431057550389154;16.485813861639162;06:00;WANDER;priere+ tache ménagére; cour;08:00;VRAI
0109;-14.431044251700591;16.485733022092766;08:00;FEED;petit dejeuner; cour;08:30;VRAI
0109;-14.432644421649327;16.48630578091203;08:30;WANDER;aller au marché ; marché;10:00;VRAI
0109;-14.430975090038723;16.485866120596842;10:00;WANDER;magasin; magasin;10:15;VRAI
0109;-14.431096428791916;16.485808070060582;10:15;WANDER;préparatif dejeuner; cuisine (303);12:00;VRAI
0109;-14.431096428791916;16.485808070060582;12:00;WANDER;preparer le repas; cuisine (303);14:00;VRAI
0109;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner; cour;15:00;VRAI
0109;-14.43092228409509;16.4858747231437;15:00;REST;Dormir; chambre (305);17:00;VRAI
0109;-14.431096428791916;16.485808070060582;17:00;WANDER;préparer le diner; cuisine (303);19:00;VRAI
0109;-14.431044251700591;16.485733022092766;19:00;FEED;diner ; cour;21:00;VRAI
0109;-14.431044251700591;16.485733022092766;21:00;STILL;palabrer; cour ;23:00;VRAI
0109;-14.43092228409509;16.4858747231437;23:00;REST;Dormir ; chambre;08:00;VRAI
0110;-14.431005373044476;16.485786065548993;06:00;STILL;priére; cour;07:00;VRAI
0110;-14.418357122244524;16.488049535050884;07:00;WANDER;Aller au champ ; Champ;10:00;VRAI
0110;-14.431044251700591;16.485733022092766;10:00;REST;Repos ; cour;14:00;VRAI
0110;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner ; Cour;15:00;VRAI
0110;-14.418357122244524;16.488049535050884;15:00;WANDER;Aller au champ ; Champ;17:00;VRAI
0110;-14.431044251700591;16.485733022092766;17:00;REST;Repos ; cour;20:00;VRAI
0110;-14.431001164892983;16.485844886480038;20:00;STILL;regarder la télé; salon;22:00;VRAI
0110;-14.4309357717267;16.48584998213261;22:00;REST;Dormir ; chambre;06:00;VRAI
0111;-14.431005373044476;16.485786065548993;06:00;WANDER;priére+ préparatif ; cour;07:40;VRAI
0111;-14.429843468003302;16.48421965770301;07:40;WANDER;aller à l'école; école élémentaire;13:00;VRAI
0111;-14.431057550389154;16.485813861639162;13:00;WANDER;tache ménagére; cour;14:00;VRAI
0111;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner ; Cour;15:00;VRAI
