DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;COMMENT;date ajout;resp. ajout;;
02/12/1909;15;53;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;15;54;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;15;55;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;16;3;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;16;14;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;16;26;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;16;56;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;16;57;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;17;3;river;Casamance;;;11/12/2014;JLF;;
02/12/1909;17;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;17;14;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;17;26;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;17;58;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;17;59;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;18;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;18;14;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;18;15;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;18;26;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;18;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;19;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;19;15;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;19;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;19;26;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;19;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;20;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;20;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;20;26;river;Saloum;;;10/12/2014;JLF&JMD;;
02/12/1909;20;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;21;5;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;21;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;21;59;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;22;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;22;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;22;59;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;23;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;23;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;23;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;24;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;24;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;24;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;25;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;25;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;25;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;26;3;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;26;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;26;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;26;59;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;27;3;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;27;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;27;59;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;28;4;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;28;5;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;28;6;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;28;7;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;28;17;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;28;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;29;7;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;29;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;29;61;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;30;7;river;Casamance;;;10/12/2014;JLF&JMD;;
02/12/1909;30;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;30;18;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;30;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;31;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;31;17;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;31;19;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;31;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;32;19;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;32;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;33;19;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;33;61;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;34;19;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;34;61;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;34;62;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;35;20;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;35;62;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;36;18;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;36;20;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;36;62;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;37;18;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;37;19;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;37;62;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;38;17;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;38;62;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;39;16;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;39;17;river;Gambie;;;10/12/2014;JLF&JMD;;
02/12/1909;39;62;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;40;62;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;41;62;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;42;61;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;43;61;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;44;62;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;45;61;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;46;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;46;61;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;47;60;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;48;59;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;49;58;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;50;57;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;51;56;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;52;54;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;52;55;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;53;54;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;54;55;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;55;54;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;56;54;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;57;54;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;58;54;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;59;52;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;59;53;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;60;50;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;60;51;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;61;47;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;61;48;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;61;49;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;62;47;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;63;45;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;63;46;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;64;45;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;65;44;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;65;45;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;66;43;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;67;41;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;67;42;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;68;40;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;69;39;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;70;39;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;71;38;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;72;38;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;73;36;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;73;37;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;74;36;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;75;35;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;76;35;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;77;35;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;78;34;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;79;33;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;80;33;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;81;33;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;82;32;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;83;32;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;84;32;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;85;31;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;86;31;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;87;30;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;88;29;river;Senegal;;;10/12/2014;JLF&JMD;;
02/12/1909;88;30;river;Senegal;;;10/12/2014;JLF&JMD;;
03/12/1909;0;34;track;Daka-Piki;N1;;10/12/2014;JLF&JMD;;
03/12/1909;1;34;track;Daka-Piki;N1;;10/12/2014;JLF&JMD;;
03/12/1909;2;34;track;Daka-Piki;N1;;10/12/2014;JLF&JMD;;
03/12/1909;3;34;track;Piki-Rufi;N1;;10/12/2014;JLF&JMD;;
03/12/1909;4;34;track;Rufi-Mbou;N1;;10/12/2014;JLF&JMD;;
03/12/1909;4;35;track;Daka-Tiva;RD;;10/12/2014;JLF&JMD;;
03/12/1909;5;33;track;Rufi-Mbou;N1;;10/12/2014;JLF&JMD;;
03/12/1909;5;34;track;Rufi-Mbou;N1;;10/12/2014;JLF&JMD;;
03/12/1909;5;36;track;Daka-Tiva;RD;;10/12/2014;JLF&JMD;;
03/12/1909;6;32;track;Rufi-Mbou;N1;;10/12/2014;JLF&JMD;;
03/12/1909;6;34;track;Rufi-Thie;N2;;10/12/2014;JLF&JMD;;
03/12/1909;6;37;track;Daka-Tiva;RD;;10/12/2014;JLF&JMD;;
03/12/1909;7;30;track;Rufi-Mbou;N1;;10/12/2014;JLF&JMD;;
03/12/1909;7;31;track;Rufi-Mbou;N1;;10/12/2014;JLF&JMD;;
03/12/1909;7;32;track;Rufi-Mbou;N1;;10/12/2014;JLF&JMD;;
03/12/1909;7;35;track;Rufi-Thie;N2;;10/12/2014;JLF&JMD;;
03/12/1909;7;38;track;Daka-Tiva;RD;;10/12/2014;JLF&JMD;;
03/12/1909;8;28;track;Mbou-Joal;RD;;10/12/2014;JLF&JMD;;
03/12/1909;8;29;track;Mbou-Joal;RD;;10/12/2014;JLF&JMD;;
03/12/1909;8;30;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;8;33;track;Mbou-Thie;RD;;10/12/2014;JLF&JMD;;
03/12/1909;8;34;track;Mbou-Thie;RD;;10/12/2014;JLF&JMD;;
03/12/1909;8;35;track;Rufi-Thie;N2;;10/12/2014;JLF&JMD;;
03/12/1909;8;39;track;Daka-Tiva;RD;;10/12/2014;JLF&JMD;;
03/12/1909;9;27;track;Mbou-Joal;RD;;10/12/2014;JLF&JMD;;
03/12/1909;9;30;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;9;35;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;9;36;track;Thie-Tiva;N2;;10/12/2014;JLF&JMD;;
03/12/1909;9;40;track;Daka-Tiva;RD;;10/12/2014;JLF&JMD;;
03/12/1909;10;2;track;Zigu-Caps;RD;;10/12/2014;JLF&JMD;;
03/12/1909;10;26;track;Mbou-Joal;RD;;10/12/2014;JLF&JMD;;
03/12/1909;10;30;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;10;35;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;10;37;track;Thie-Tiva;N2;;10/12/2014;JLF&JMD;;
03/12/1909;10;39;track;Daka-Tiva;RD;;10/12/2014;JLF&JMD;;
03/12/1909;11;1;track;Zigu-Caps;RD;;10/12/2014;JLF&JMD;;
03/12/1909;11;30;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;11;35;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;11;38;track;Tiva-Kebe;N2;;10/12/2014;JLF&JMD;;
03/12/1909;12;1;track;Zigu-Caps;RD;;10/12/2014;JLF&JMD;;
03/12/1909;12;13;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;12;14;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;12;15;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;12;30;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;12;35;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;12;39;track;Tiva-Kebe;N2;;10/12/2014;JLF&JMD;;
03/12/1909;12;40;track;Tiva-Kebe;N2;;10/12/2014;JLF&JMD;;
03/12/1909;13;1;track;Zigu-Caps;RD;;10/12/2014;JLF&JMD;;
03/12/1909;13;10;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;13;11;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;13;12;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;13;13;track;Banj-Fara;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;13;16;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;13;30;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;13;34;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;13;41;track;Tiva-Kebe;N2;;10/12/2014;JLF&JMD;;
03/12/1909;14;2;track;Zigu-Caps;RD;;10/12/2014;JLF&JMD;;
03/12/1909;14;9;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;14;13;track;Banj-Fara;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;14;29;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;14;34;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;14;42;track;Tiva-Kebe;N2;;10/12/2014;JLF&JMD;;
03/12/1909;14;52;track;Loug-Sain;N2;;10/12/2014;JLF&JMD;;
03/12/1909;14;53;track;Loug-Sain;N2;;10/12/2014;JLF&JMD;;
03/12/1909;15;2;track;Zigu-Caps;RD;;10/12/2014;JLF&JMD;;
03/12/1909;15;8;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;15;9;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;15;12;track;Banj-Fara;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;15;16;track;Fara-Banj;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;15;17;track;Banj-Kaol;N5;;10/12/2014;JLF&JMD;;
03/12/1909;15;18;track;Banj-Kaol;N5;;10/12/2014;JLF&JMD;;
03/12/1909;15;19;track;Banj-Kaol;N5;;10/12/2014;JLF&JMD;;
03/12/1909;15;20;track;Banj-Kaol;N5;;10/12/2014;JLF&JMD;;
03/12/1909;15;21;track;Banj-Kaol;N5;;10/12/2014;JLF&JMD;;
03/12/1909;15;27;track;Foun-Mbou;RD;;10/12/2014;JLF&JMD;;
03/12/1909;15;29;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;15;34;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;15;43;track;Tiva-Kebe;N2;;10/12/2014;JLF&JMD;;
03/12/1909;15;52;track;Loug-Sain;N2;;10/12/2014;JLF&JMD;;
03/12/1909;15;53;track;Sain-Rich;N2;;10/12/2014;JLF&JMD;;
03/12/1909;16;2;track;Zigu-Caps;RD;;10/12/2014;JLF&JMD;;
03/12/1909;16;8;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;16;12;track;Banj-Fara;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;16;17;track;Fara-Banj;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;16;22;track;Banj-Kaol;N5;;10/12/2014;JLF&JMD;;
03/12/1909;16;25;track;Foun-Kaol;RD;;10/12/2014;JLF&JMD;;
03/12/1909;16;26;track;Foun-Kaol;RD;;10/12/2014;JLF&JMD;;
03/12/1909;16;28;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;16;34;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;16;43;track;Kebe-Toub;RD;;10/12/2014;JLF&JMD;;
03/12/1909;16;44;track;Kebe-Loug;N2;;10/12/2014;JLF&JMD;;
03/12/1909;16;51;track;Loug-Sain;N2;;10/12/2014;JLF&JMD;;
03/12/1909;16;54;track;Sain-Rich;N2;;10/12/2014;JLF&JMD;;
03/12/1909;17;3;track;Fara-Zigu;N4;;10/12/2014;JLF&JMD;;
03/12/1909;17;7;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;17;8;track;Zigu-Banj;N5;;10/12/2014;JLF&JMD;;
03/12/1909;17;12;track;Banj-Fara;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;17;17;track;Fara-Banj;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;17;23;track;Banj-Kaol;N5;;10/12/2014;JLF&JMD;;
03/12/1909;17;24;track;Banj-Kaol;N5;;10/12/2014;JLF&JMD;;
03/12/1909;17;27;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;17;33;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;17;43;track;Kebe-Toub;RD;;10/12/2014;JLF&JMD;;
03/12/1909;17;45;track;Kebe-Loug;N2;;10/12/2014;JLF&JMD;;
03/12/1909;17;46;track;Kebe-Loug;N2;;10/12/2014;JLF&JMD;;
03/12/1909;17;47;track;Kebe-Loug;N2;;10/12/2014;JLF&JMD;;
03/12/1909;17;51;track;Loug-Sain;N2;;10/12/2014;JLF&JMD;;
03/12/1909;17;54;track;Sain-Rich;N2;;10/12/2014;JLF&JMD;;
03/12/1909;17;55;track;Sain-Rich;N2;;10/12/2014;JLF&JMD;;
03/12/1909;18;2;track;Zigu-Guin;N4;;10/12/2014;JLF&JMD;;
03/12/1909;18;4;track;Fara-Zigu;N4;;10/12/2014;JLF&JMD;;
03/12/1909;18;5;track;Fara-Zigu;N4;;10/12/2014;JLF&JMD;;
03/12/1909;18;6;track;Fara-Zigu;N4;;10/12/2014;JLF&JMD;;
03/12/1909;18;7;track;Fara-Zigu;N4;;10/12/2014;JLF&JMD;;
03/12/1909;18;12;track;Banj-Fara;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;18;17;track;Fara-Banj;Gambian;;10/12/2014;JLF&JMD;;
03/12/1909;18;24;track;Banj-Kaol;N5;;10/12/2014;JLF&JMD;;
03/12/1909;18;27;track;Mbou-Kaol;N1;;10/12/2014;JLF&JMD;;
03/12/1909;18;33;track;Thie-Diou;N3;;10/12/2014;JLF&JMD;;
03/12/1909;18;42;track;Kebe-Toub;RD;;10/12/2014;JLF&JMD;;
03/12/1909;18;47;track;Kebe-Loug;N2;;10/12/2014;JLF&JMD;;
03/12/1909;18;48;track;Loug-Sain;N2;;10/12/2014;JLF&JMD;;
