DATE EVENT;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT;date ajout;resp. ajout
26/11/1983;27;23;road;Arabe;;8248;;19/07/2014;JLF
26/11/1983;59;66;road;Ardoulaye;;23330;;19/07/2014;JLF
26/11/1983;115;118;road;Arigabo;;41586;;19/07/2014;JLF
26/11/1983;8;66;road;Arimale;;23279;;19/07/2014;JLF
26/11/1983;127;139;road;Aroundou;;48948;;19/07/2014;JLF
26/11/1983;127;114;road;Arri Hara;;40198;;19/07/2014;JLF
26/11/1983;113;16;road;Assoni;;5884;;19/07/2014;JLF
26/11/1983;100;7;road;Aykoum;;2721;;19/07/2014;JLF
26/11/1983;112;110;road;Aynoumadi;;38783;;19/07/2014;JLF
26/11/1983;100;150;road;Babangol;;52771;;19/07/2014;JLF
26/11/1983;114;19;road;Babel;;6935;;19/07/2014;JLF
26/11/1983;68;132;road;Babinguel Diamel;;46439;;19/07/2014;JLF
26/11/1983;173;19;road;Baboti;;6994;;19/07/2014;JLF
26/11/1983;79;21;road;Back Back;;7600;;19/07/2014;JLF
26/11/1983;19;51;road;Badiara Campement;;18040;;19/07/2014;JLF
26/11/1983;17;51;road;Badiara Fily;;18038;;19/07/2014;JLF
26/11/1983;116;11;road;Bading;;4137;;19/07/2014;JLF
26/11/1983;8;43;road;Badion;;15229;;19/07/2014;JLF
26/11/1983;37;24;road;Badiou Bantang;;8608;;19/07/2014;JLF
26/11/1983;152;30;road;Badioula;;10823;;19/07/2014;JLF
26/11/1983;120;34;road;Badon;;12191;;19/07/2014;JLF
26/11/1983;122;29;road;Bafoundou;;10443;;19/07/2014;JLF
26/11/1983;61;68;road;Bagadadji;;24032;;19/07/2014;JLF
26/11/1983;85;63;road;Bagadadji;;22306;;19/07/2014;JLF
26/11/1983;21;51;road;Bagayogo;;18042;;19/07/2014;JLF
26/11/1983;161;35;road;Bagni Bagni;;12582;;19/07/2014;JLF
26/11/1983;121;22;road;Bagnomba;;7992;;19/07/2014;JLF
26/11/1983;159;23;road;Baitilaye;;8380;;19/07/2014;JLF
