DATE;X;Y;EVENT;VALUE1;VALUE2;CELL_ID;COMMENT
01/01/1910;2;7;bioClimate;0;;626;
01/01/1910;2;8;bioClimate;0;;715;
01/01/1910;2;9;bioClimate;0;;804;
01/01/1910;2;10;bioClimate;0;;893;
01/01/1910;2;11;bioClimate;0;;982;
01/01/1910;2;12;bioClimate;0;;1071;
01/01/1910;2;13;bioClimate;0;;1160;
01/01/1910;2;14;bioClimate;0;;1249;
01/01/1910;2;15;bioClimate;0;;1338;
01/01/1910;2;16;bioClimate;0;;1427;
01/01/1910;2;17;bioClimate;0;;1516;
01/01/1910;2;18;bioClimate;0;;1605;
01/01/1910;2;19;bioClimate;0;;1694;
01/01/1910;2;20;bioClimate;0;;1783;
01/01/1910;2;21;bioClimate;0;;1872;
01/01/1910;2;22;bioClimate;0;;1961;
01/01/1910;2;23;bioClimate;0;;2050;
01/01/1910;2;24;bioClimate;0;;2139;
01/01/1910;2;25;bioClimate;0;;2228;
01/01/1910;2;26;bioClimate;0;;2317;
01/01/1910;2;27;bioClimate;0;;2406;
01/01/1910;2;28;bioClimate;0;;2495;
01/01/1910;2;29;bioClimate;0;;2584;
01/01/1910;2;30;bioClimate;0;;2673;
01/01/1910;2;31;bioClimate;0;;2762;
01/01/1910;2;32;bioClimate;0;;2851;
01/01/1910;2;33;bioClimate;0;;2940;
01/01/1910;2;34;bioClimate;0;;3029;
01/01/1910;2;35;bioClimate;1;;3118;
01/01/1910;2;36;bioClimate;1;;3207;
01/01/1910;2;37;bioClimate;0;;3296;
01/01/1910;2;38;bioClimate;0;;3385;
01/01/1910;2;39;bioClimate;0;;3474;
01/01/1910;2;40;bioClimate;0;;3563;
01/01/1910;2;41;bioClimate;0;;3652;
01/01/1910;2;42;bioClimate;0;;3741;
01/01/1910;2;43;bioClimate;0;;3830;
01/01/1910;2;44;bioClimate;0;;3919;
01/01/1910;2;45;bioClimate;0;;4008;
01/01/1910;2;46;bioClimate;0;;4097;
01/01/1910;2;47;bioClimate;0;;4186;
01/01/1910;2;48;bioClimate;0;;4275;
01/01/1910;2;49;bioClimate;0;;4364;
01/01/1910;2;50;bioClimate;0;;4453;
01/01/1910;2;51;bioClimate;0;;4542;
01/01/1910;2;52;bioClimate;0;;4631;
01/01/1910;2;53;bioClimate;0;;4720;
01/01/1910;2;54;bioClimate;0;;4809;
01/01/1910;2;55;bioClimate;0;;4898;
01/01/1910;2;56;bioClimate;0;;4987;
01/01/1910;2;57;bioClimate;0;;5076;
01/01/1910;2;58;bioClimate;0;;5165;
01/01/1910;2;59;bioClimate;0;;5254;
01/01/1910;2;60;bioClimate;0;;5343;
01/01/1910;2;61;bioClimate;0;;5432;
01/01/1910;2;62;bioClimate;0;;5521;
01/01/1910;3;0;bioClimate;0;;4;
01/01/1910;3;1;bioClimate;0;;93;
01/01/1910;3;2;bioClimate;0;;182;
01/01/1910;3;3;bioClimate;0;;271;
01/01/1910;3;4;bioClimate;0;;360;
01/01/1910;3;5;bioClimate;0;;449;
01/01/1910;3;6;bioClimate;0;;538;
01/01/1910;3;7;bioClimate;0;;627;
01/01/1910;3;8;bioClimate;0;;716;
01/01/1910;3;9;bioClimate;0;;805;
01/01/1910;3;10;bioClimate;0;;894;
01/01/1910;3;11;bioClimate;0;;983;
01/01/1910;3;12;bioClimate;0;;1072;
01/01/1910;3;13;bioClimate;0;;1161;
01/01/1910;3;14;bioClimate;0;;1250;
01/01/1910;3;15;bioClimate;0;;1339;
01/01/1910;3;16;bioClimate;0;;1428;
01/01/1910;3;17;bioClimate;0;;1517;
01/01/1910;3;18;bioClimate;0;;1606;
01/01/1910;3;19;bioClimate;0;;1695;
01/01/1910;3;20;bioClimate;0;;1784;
01/01/1910;3;21;bioClimate;0;;1873;
01/01/1910;3;22;bioClimate;0;;1962;
01/01/1910;3;23;bioClimate;0;;2051;
01/01/1910;3;24;bioClimate;0;;2140;
01/01/1910;3;25;bioClimate;0;;2229;
01/01/1910;3;26;bioClimate;0;;2318;
01/01/1910;3;27;bioClimate;0;;2407;
01/01/1910;3;28;bioClimate;0;;2496;
01/01/1910;3;29;bioClimate;0;;2585;
01/01/1910;3;30;bioClimate;0;;2674;
01/01/1910;3;31;bioClimate;0;;2763;
01/01/1910;3;32;bioClimate;0;;2852;
01/01/1910;3;33;bioClimate;0;;2941;
01/01/1910;3;34;bioClimate;0;;3030;
01/01/1910;3;35;bioClimate;1;;3119;
01/01/1910;3;36;bioClimate;1;;3208;
01/01/1910;3;37;bioClimate;0;;3297;
01/01/1910;3;38;bioClimate;0;;3386;
01/01/1910;3;39;bioClimate;0;;3475;
01/01/1910;3;40;bioClimate;0;;3564;
01/01/1910;3;41;bioClimate;0;;3653;
01/01/1910;3;42;bioClimate;0;;3742;
01/01/1910;3;43;bioClimate;0;;3831;
01/01/1910;3;44;bioClimate;0;;3920;
01/01/1910;3;45;bioClimate;0;;4009;
01/01/1910;3;46;bioClimate;0;;4098;
01/01/1910;3;47;bioClimate;0;;4187;
01/01/1910;3;48;bioClimate;0;;4276;
01/01/1910;3;49;bioClimate;0;;4365;
01/01/1910;3;50;bioClimate;0;;4454;
01/01/1910;3;51;bioClimate;0;;4543;
01/01/1910;3;52;bioClimate;0;;4632;
01/01/1910;3;53;bioClimate;0;;4721;
01/01/1910;3;54;bioClimate;0;;4810;
01/01/1910;3;55;bioClimate;0;;4899;
01/01/1910;3;56;bioClimate;0;;4988;
01/01/1910;3;57;bioClimate;0;;5077;
01/01/1910;3;58;bioClimate;0;;5166;
01/01/1910;3;59;bioClimate;0;;5255;
01/01/1910;3;60;bioClimate;0;;5344;
01/01/1910;3;61;bioClimate;0;;5433;
01/01/1910;3;62;bioClimate;0;;5522;
01/01/1910;4;0;bioClimate;0;;5;
01/01/1910;4;1;bioClimate;0;;94;
01/01/1910;4;2;bioClimate;0;;183;
01/01/1910;4;3;bioClimate;0;;272;
01/01/1910;4;4;bioClimate;0;;361;
01/01/1910;4;5;bioClimate;0;;450;
01/01/1910;4;6;bioClimate;0;;539;
01/01/1910;4;7;bioClimate;0;;628;
01/01/1910;4;8;bioClimate;0;;717;
01/01/1910;4;9;bioClimate;0;;806;
01/01/1910;4;10;bioClimate;0;;895;
01/01/1910;4;11;bioClimate;0;;984;
01/01/1910;4;12;bioClimate;0;;1073;
01/01/1910;4;13;bioClimate;0;;1162;
01/01/1910;4;14;bioClimate;0;;1251;
01/01/1910;4;15;bioClimate;0;;1340;
01/01/1910;4;16;bioClimate;0;;1429;
01/01/1910;4;17;bioClimate;0;;1518;
01/01/1910;4;18;bioClimate;0;;1607;
01/01/1910;4;19;bioClimate;0;;1696;
01/01/1910;4;20;bioClimate;0;;1785;
01/01/1910;4;21;bioClimate;0;;1874;
01/01/1910;4;22;bioClimate;0;;1963;
01/01/1910;4;23;bioClimate;0;;2052;
01/01/1910;4;24;bioClimate;0;;2141;
01/01/1910;4;25;bioClimate;0;;2230;
01/01/1910;4;26;bioClimate;0;;2319;
01/01/1910;4;27;bioClimate;0;;2408;
01/01/1910;4;28;bioClimate;0;;2497;
01/01/1910;4;29;bioClimate;0;;2586;
01/01/1910;4;30;bioClimate;0;;2675;
01/01/1910;4;31;bioClimate;0;;2764;
01/01/1910;4;32;bioClimate;0;;2853;
01/01/1910;4;33;bioClimate;0;;2942;
01/01/1910;4;34;bioClimate;1;;3031;
01/01/1910;4;35;bioClimate;1;;3120;
01/01/1910;4;36;bioClimate;1;;3209;
01/01/1910;4;37;bioClimate;1;;3298;
01/01/1910;4;38;bioClimate;0;;3387;
01/01/1910;4;39;bioClimate;0;;3476;
01/01/1910;4;40;bioClimate;0;;3565;
01/01/1910;4;41;bioClimate;0;;3654;
01/01/1910;4;42;bioClimate;0;;3743;
01/01/1910;4;43;bioClimate;0;;3832;
01/01/1910;4;44;bioClimate;0;;3921;
01/01/1910;4;45;bioClimate;0;;4010;
01/01/1910;4;46;bioClimate;0;;4099;
01/01/1910;4;47;bioClimate;0;;4188;
01/01/1910;4;48;bioClimate;0;;4277;
01/01/1910;4;49;bioClimate;0;;4366;
01/01/1910;4;50;bioClimate;0;;4455;
01/01/1910;4;51;bioClimate;0;;4544;
01/01/1910;4;52;bioClimate;0;;4633;
01/01/1910;4;53;bioClimate;0;;4722;
01/01/1910;4;54;bioClimate;0;;4811;
01/01/1910;4;55;bioClimate;0;;4900;
01/01/1910;4;56;bioClimate;0;;4989;
01/01/1910;4;57;bioClimate;0;;5078;
01/01/1910;4;58;bioClimate;0;;5167;
01/01/1910;4;59;bioClimate;0;;5256;
01/01/1910;4;60;bioClimate;0;;5345;
01/01/1910;4;61;bioClimate;0;;5434;
01/01/1910;4;62;bioClimate;0;;5523;
01/01/1910;5;0;bioClimate;0;;6;
01/01/1910;5;1;bioClimate;0;;95;
01/01/1910;5;2;bioClimate;0;;184;
01/01/1910;5;3;bioClimate;0;;273;
01/01/1910;5;4;bioClimate;0;;362;
01/01/1910;5;5;bioClimate;0;;451;
01/01/1910;5;6;bioClimate;0;;540;
01/01/1910;5;7;bioClimate;0;;629;
01/01/1910;5;8;bioClimate;0;;718;
01/01/1910;5;9;bioClimate;0;;807;
01/01/1910;5;10;bioClimate;0;;896;
01/01/1910;5;11;bioClimate;0;;985;
01/01/1910;5;12;bioClimate;0;;1074;
01/01/1910;5;13;bioClimate;0;;1163;
01/01/1910;5;14;bioClimate;0;;1252;
01/01/1910;5;15;bioClimate;0;;1341;
01/01/1910;5;16;bioClimate;0;;1430;
01/01/1910;5;17;bioClimate;0;;1519;
01/01/1910;5;18;bioClimate;0;;1608;
01/01/1910;5;19;bioClimate;0;;1697;
01/01/1910;5;20;bioClimate;0;;1786;
01/01/1910;5;21;bioClimate;0;;1875;
01/01/1910;5;22;bioClimate;0;;1964;
01/01/1910;5;23;bioClimate;0;;2053;
01/01/1910;5;24;bioClimate;0;;2142;
01/01/1910;5;25;bioClimate;0;;2231;
01/01/1910;5;26;bioClimate;0;;2320;
01/01/1910;5;27;bioClimate;0;;2409;
01/01/1910;5;28;bioClimate;0;;2498;
01/01/1910;5;29;bioClimate;0;;2587;
01/01/1910;5;30;bioClimate;0;;2676;
01/01/1910;5;31;bioClimate;0;;2765;
01/01/1910;5;32;bioClimate;0;;2854;
01/01/1910;5;33;bioClimate;4;;2943;
01/01/1910;5;34;bioClimate;4;;3032;
01/01/1910;5;35;bioClimate;4;;3121;
01/01/1910;5;36;bioClimate;1;;3210;
01/01/1910;5;37;bioClimate;1;;3299;
01/01/1910;5;38;bioClimate;1;;3388;
01/01/1910;5;39;bioClimate;0;;3477;
01/01/1910;5;40;bioClimate;0;;3566;
01/01/1910;5;41;bioClimate;0;;3655;
01/01/1910;5;42;bioClimate;0;;3744;
01/01/1910;5;43;bioClimate;0;;3833;
01/01/1910;5;44;bioClimate;0;;3922;
01/01/1910;5;45;bioClimate;0;;4011;
01/01/1910;5;46;bioClimate;0;;4100;
01/01/1910;5;47;bioClimate;0;;4189;
01/01/1910;5;48;bioClimate;0;;4278;
01/01/1910;5;49;bioClimate;0;;4367;
01/01/1910;5;50;bioClimate;0;;4456;
01/01/1910;5;51;bioClimate;0;;4545;
01/01/1910;5;52;bioClimate;0;;4634;
01/01/1910;5;53;bioClimate;0;;4723;
01/01/1910;5;54;bioClimate;0;;4812;
01/01/1910;5;55;bioClimate;0;;4901;
01/01/1910;5;56;bioClimate;0;;4990;
01/01/1910;5;57;bioClimate;0;;5079;
01/01/1910;5;58;bioClimate;0;;5168;
01/01/1910;5;59;bioClimate;0;;5257;
01/01/1910;5;60;bioClimate;0;;5346;
01/01/1910;5;61;bioClimate;0;;5435;
01/01/1910;5;62;bioClimate;0;;5524;
01/01/1910;6;0;bioClimate;0;;7;
