"";"CELL_WIDTH_Ucm";"INIT_POP_SIZE";"NUMBER_OF_BURROW_SYSTEM";"MAX_AGE_Uday";"AGENT_PERCEPTION_RADIUS_UmeterByDay";"AGENT_SPEED_UmeterByDay";"REPRO_START_Umonth";"REPRO_END_Umonth";"MALE_SEXUAL_MATURITY_Uday";"FEMALE_SEXUAL_MATURITY_Uday";"GESTATION_LENGTH_Uday";"MATING_LATENCY_Uday";"LITTER_SIZE";"WEANING_AGE_Uday";"FEMALE_BURROW_SYSTEM_CARRYING_CAPACITY_MULTIPLIER"
"141";1271;800;25;300;33;5;1;8;51;80;10;14;1;23;3
"142";1271;800;25;300;33;5;1;8;51;80;10;14;7;23;3
"143";1271;800;25;300;33;5;1;8;51;80;10;14;7;5;3
"144";1271;800;25;300;33;5;1;8;51;80;10;14;7;5;6
"145";1271;1700;25;1020;42;13;2;6;77;32;10;8;11;23;3
"146";599;1700;25;1020;42;13;2;6;77;32;10;8;11;23;3
"147";599;800;25;1020;42;13;2;6;77;32;10;8;11;23;3
"148";599;800;70;1020;42;13;2;6;77;32;10;8;11;23;3
"149";599;800;70;480;42;13;2;6;77;32;10;8;11;23;3
"150";599;800;70;480;15;13;2;6;77;32;10;8;11;23;3
"151";599;800;70;480;15;1;2;6;77;32;10;8;11;23;3
"152";599;800;70;480;15;1;5;6;77;32;10;8;11;23;3
"153";599;800;70;480;15;1;5;9;77;32;10;8;11;23;3
"154";599;800;70;480;15;1;5;9;38;32;10;8;11;23;3
"155";599;800;70;480;15;1;5;9;38;68;10;8;11;23;3
"156";599;800;70;480;15;1;5;9;38;68;28;8;11;23;3
"157";599;800;70;480;15;1;5;9;38;68;28;17;11;23;3
"158";599;800;70;480;15;1;5;9;38;68;28;17;5;23;3
"159";599;800;70;480;15;1;5;9;38;68;28;17;5;5;3
"160";599;800;70;480;15;1;5;9;38;68;28;17;5;5;6
"161";823;1400;40;480;15;9;5;6;38;44;40;17;1;29;6
"162";1495;1400;40;480;15;9;5;6;38;44;40;17;1;29;6
"163";1495;500;40;480;15;9;5;6;38;44;40;17;1;29;6
"164";1495;500;85;480;15;9;5;6;38;44;40;17;1;29;6
"165";1495;500;85;1020;15;9;5;6;38;44;40;17;1;29;6
"166";1495;500;85;1020;42;9;5;6;38;44;40;17;1;29;6
"167";1495;500;85;1020;42;21;5;6;38;44;40;17;1;29;6
"168";1495;500;85;1020;42;21;2;6;38;44;40;17;1;29;6
"169";1495;500;85;1020;42;21;2;9;38;44;40;17;1;29;6
"170";1495;500;85;1020;42;21;2;9;77;44;40;17;1;29;6
"171";1495;500;85;1020;42;21;2;9;77;80;40;17;1;29;6
"172";1495;500;85;1020;42;21;2;9;77;80;22;17;1;29;6
"173";1495;500;85;1020;42;21;2;9;77;80;22;8;1;29;6
"174";1495;500;85;1020;42;21;2;9;77;80;22;8;7;29;6
"175";1495;500;85;1020;42;21;2;9;77;80;22;8;7;11;6
"176";1495;500;85;1020;42;21;2;9;77;80;22;8;7;11;3
"177";1047;2000;40;1020;15;9;3;7;25;68;22;5;11;5;5
"178";375;2000;40;1020;15;9;3;7;25;68;22;5;11;5;5
"179";375;1100;40;1020;15;9;3;7;25;68;22;5;11;5;5
"180";375;1100;85;1020;15;9;3;7;25;68;22;5;11;5;5
"181";375;1100;85;480;15;9;3;7;25;68;22;5;11;5;5
"182";375;1100;85;480;42;9;3;7;25;68;22;5;11;5;5
"183";375;1100;85;480;42;21;3;7;25;68;22;5;11;5;5
"184";375;1100;85;480;42;21;6;7;25;68;22;5;11;5;5
"185";375;1100;85;480;42;21;6;10;25;68;22;5;11;5;5
"186";375;1100;85;480;42;21;6;10;64;68;22;5;11;5;5
"187";375;1100;85;480;42;21;6;10;64;32;22;5;11;5;5
"188";375;1100;85;480;42;21;6;10;64;32;40;5;11;5;5
"189";375;1100;85;480;42;21;6;10;64;32;40;14;11;5;5
"190";375;1100;85;480;42;21;6;10;64;32;40;14;5;5;5
"191";375;1100;85;480;42;21;6;10;64;32;40;14;5;23;5
"192";375;1100;85;480;42;21;6;10;64;32;40;14;5;23;2
"193";1047;1400;55;840;33;9;3;10;77;56;16;17;5;17;1
"194";375;1400;55;840;33;9;3;10;77;56;16;17;5;17;1
"195";375;500;55;840;33;9;3;10;77;56;16;17;5;17;1
"196";375;500;100;840;33;9;3;10;77;56;16;17;5;17;1
"197";375;500;100;300;33;9;3;10;77;56;16;17;5;17;1
"198";375;500;100;300;60;9;3;10;77;56;16;17;5;17;1
"199";375;500;100;300;60;21;3;10;77;56;16;17;5;17;1
"200";375;500;100;300;60;21;6;10;77;56;16;17;5;17;1
"201";375;500;100;300;60;21;6;7;77;56;16;17;5;17;1
"202";375;500;100;300;60;21;6;7;38;56;16;17;5;17;1
"203";375;500;100;300;60;21;6;7;38;20;16;17;5;17;1
"204";375;500;100;300;60;21;6;7;38;20;34;17;5;17;1
"205";375;500;100;300;60;21;6;7;38;20;34;8;5;17;1
"206";375;500;100;300;60;21;6;7;38;20;34;8;11;17;1
"207";375;500;100;300;60;21;6;7;38;20;34;8;11;35;1
"208";375;500;100;300;60;21;6;7;38;20;34;8;11;35;4
"209";1047;1400;40;480;33;1;4;10;64;44;10;17;1;35;5
"210";375;1400;40;480;33;1;4;10;64;44;10;17;1;35;5
"211";375;500;40;480;33;1;4;10;64;44;10;17;1;35;5
"212";375;500;85;480;33;1;4;10;64;44;10;17;1;35;5
"213";375;500;85;1020;33;1;4;10;64;44;10;17;1;35;5
"214";375;500;85;1020;60;1;4;10;64;44;10;17;1;35;5
"215";375;500;85;1020;60;13;4;10;64;44;10;17;1;35;5
"216";375;500;85;1020;60;13;1;10;64;44;10;17;1;35;5
"217";375;500;85;1020;60;13;1;7;64;44;10;17;1;35;5
"218";375;500;85;1020;60;13;1;7;25;44;10;17;1;35;5
"219";375;500;85;1020;60;13;1;7;25;80;10;17;1;35;5
"220";375;500;85;1020;60;13;1;7;25;80;28;17;1;35;5
"221";375;500;85;1020;60;13;1;7;25;80;28;8;1;35;5
"222";375;500;85;1020;60;13;1;7;25;80;28;8;7;35;5
"223";375;500;85;1020;60;13;1;7;25;80;28;8;7;17;5
"224";375;500;85;1020;60;13;1;7;25;80;28;8;7;17;2
"225";599;1700;40;840;33;17;4;11;64;32;22;14;3;17;3
"226";1271;1700;40;840;33;17;4;11;64;32;22;14;3;17;3
"227";1271;800;40;840;33;17;4;11;64;32;22;14;3;17;3
"228";1271;800;85;840;33;17;4;11;64;32;22;14;3;17;3
"229";1271;800;85;300;33;17;4;11;64;32;22;14;3;17;3
"230";1271;800;85;300;60;17;4;11;64;32;22;14;3;17;3
"231";1271;800;85;300;60;5;4;11;64;32;22;14;3;17;3
"232";1271;800;85;300;60;5;1;11;64;32;22;14;3;17;3
"233";1271;800;85;300;60;5;1;8;64;32;22;14;3;17;3
"234";1271;800;85;300;60;5;1;8;25;32;22;14;3;17;3
"235";1271;800;85;300;60;5;1;8;25;68;22;14;3;17;3
"236";1271;800;85;300;60;5;1;8;25;68;40;14;3;17;3
"237";1271;800;85;300;60;5;1;8;25;68;40;5;3;17;3
"238";1271;800;85;300;60;5;1;8;25;68;40;5;9;17;3
"239";1271;800;85;300;60;5;1;8;25;68;40;5;9;35;3
"240";1271;800;85;300;60;5;1;8;25;68;40;5;9;35;6
"241";1495;1400;85;1200;24;21;2;11;64;32;22;17;1;23;2
"242";823;1400;85;1200;24;21;2;11;64;32;22;17;1;23;2
"243";823;500;85;1200;24;21;2;11;64;32;22;17;1;23;2
"244";823;500;40;1200;24;21;2;11;64;32;22;17;1;23;2
"245";823;500;40;660;24;21;2;11;64;32;22;17;1;23;2
"246";823;500;40;660;51;21;2;11;64;32;22;17;1;23;2
"247";823;500;40;660;51;9;2;11;64;32;22;17;1;23;2
"248";823;500;40;660;51;9;5;11;64;32;22;17;1;23;2
"249";823;500;40;660;51;9;5;8;64;32;22;17;1;23;2
"250";823;500;40;660;51;9;5;8;25;32;22;17;1;23;2
"251";823;500;40;660;51;9;5;8;25;68;22;17;1;23;2
"252";823;500;40;660;51;9;5;8;25;68;40;17;1;23;2
"253";823;500;40;660;51;9;5;8;25;68;40;8;1;23;2
"254";823;500;40;660;51;9;5;8;25;68;40;8;7;23;2
"255";823;500;40;660;51;9;5;8;25;68;40;8;7;5;2
"256";823;500;40;660;51;9;5;8;25;68;40;8;7;5;5
"257";823;1700;40;1020;60;5;2;7;25;68;22;14;1;23;1
"258";1495;1700;40;1020;60;5;2;7;25;68;22;14;1;23;1
"259";1495;800;40;1020;60;5;2;7;25;68;22;14;1;23;1
"260";1495;800;85;1020;60;5;2;7;25;68;22;14;1;23;1
"261";1495;800;85;480;60;5;2;7;25;68;22;14;1;23;1
"262";1495;800;85;480;33;5;2;7;25;68;22;14;1;23;1
"263";1495;800;85;480;33;17;2;7;25;68;22;14;1;23;1
"264";1495;800;85;480;33;17;5;7;25;68;22;14;1;23;1
"265";1495;800;85;480;33;17;5;10;25;68;22;14;1;23;1
"266";1495;800;85;480;33;17;5;10;64;68;22;14;1;23;1
"267";1495;800;85;480;33;17;5;10;64;32;22;14;1;23;1
"268";1495;800;85;480;33;17;5;10;64;32;40;14;1;23;1
"269";1495;800;85;480;33;17;5;10;64;32;40;5;1;23;1
"270";1495;800;85;480;33;17;5;10;64;32;40;5;7;23;1
"271";1495;800;85;480;33;17;5;10;64;32;40;5;7;5;1
"272";1495;800;85;480;33;17;5;10;64;32;40;5;7;5;4
"273";599;1400;25;840;60;17;5;9;64;68;34;5;3;11;3
"274";1271;1400;25;840;60;17;5;9;64;68;34;5;3;11;3
"275";1271;500;25;840;60;17;5;9;64;68;34;5;3;11;3
"276";1271;500;70;840;60;17;5;9;64;68;34;5;3;11;3
"277";1271;500;70;300;60;17;5;9;64;68;34;5;3;11;3
"278";1271;500;70;300;33;17;5;9;64;68;34;5;3;11;3
"279";1271;500;70;300;33;5;5;9;64;68;34;5;3;11;3
"280";1271;500;70;300;33;5;2;9;64;68;34;5;3;11;3
"281";1271;500;70;300;33;5;2;6;64;68;34;5;3;11;3
"282";1271;500;70;300;33;5;2;6;25;68;34;5;3;11;3
"283";1271;500;70;300;33;5;2;6;25;32;34;5;3;11;3
"284";1271;500;70;300;33;5;2;6;25;32;16;5;3;11;3
"285";1271;500;70;300;33;5;2;6;25;32;16;14;3;11;3
"286";1271;500;70;300;33;5;2;6;25;32;16;14;9;11;3
"287";1271;500;70;300;33;5;2;6;25;32;16;14;9;29;3
"288";1271;500;70;300;33;5;2;6;25;32;16;14;9;29;6
"289";1047;500;100;300;51;9;3;6;64;80;22;11;7;35;1
"290";375;500;100;300;51;9;3;6;64;80;22;11;7;35;1
"291";375;1400;100;300;51;9;3;6;64;80;22;11;7;35;1
"292";375;1400;55;300;51;9;3;6;64;80;22;11;7;35;1
"293";375;1400;55;840;51;9;3;6;64;80;22;11;7;35;1
"294";375;1400;55;840;24;9;3;6;64;80;22;11;7;35;1
"295";375;1400;55;840;24;21;3;6;64;80;22;11;7;35;1
"296";375;1400;55;840;24;21;6;6;64;80;22;11;7;35;1
"297";375;1400;55;840;24;21;6;9;64;80;22;11;7;35;1
"298";375;1400;55;840;24;21;6;9;25;80;22;11;7;35;1
"299";375;1400;55;840;24;21;6;9;25;44;22;11;7;35;1
"300";375;1400;55;840;24;21;6;9;25;44;40;11;7;35;1
"301";375;1400;55;840;24;21;6;9;25;44;40;20;7;35;1
"302";375;1400;55;840;24;21;6;9;25;44;40;20;1;35;1
"303";375;1400;55;840;24;21;6;9;25;44;40;20;1;17;1
"304";375;1400;55;840;24;21;6;9;25;44;40;20;1;17;4
"305";1271;1700;100;1020;60;1;2;8;64;68;16;11;1;23;2
"306";599;1700;100;1020;60;1;2;8;64;68;16;11;1;23;2
"307";599;800;100;1020;60;1;2;8;64;68;16;11;1;23;2
"308";599;800;55;1020;60;1;2;8;64;68;16;11;1;23;2
"309";599;800;55;480;60;1;2;8;64;68;16;11;1;23;2
"310";599;800;55;480;33;1;2;8;64;68;16;11;1;23;2
"311";599;800;55;480;33;13;2;8;64;68;16;11;1;23;2
"312";599;800;55;480;33;13;5;8;64;68;16;11;1;23;2
"313";599;800;55;480;33;13;5;11;64;68;16;11;1;23;2
"314";599;800;55;480;33;13;5;11;25;68;16;11;1;23;2
"315";599;800;55;480;33;13;5;11;25;32;16;11;1;23;2
"316";599;800;55;480;33;13;5;11;25;32;34;11;1;23;2
"317";599;800;55;480;33;13;5;11;25;32;34;20;1;23;2
"318";599;800;55;480;33;13;5;11;25;32;34;20;7;23;2
"319";599;800;55;480;33;13;5;11;25;32;34;20;7;5;2
"320";599;800;55;480;33;13;5;11;25;32;34;20;7;5;5
"321";823;500;70;1020;42;13;2;7;77;68;40;17;7;11;6
"322";1495;500;70;1020;42;13;2;7;77;68;40;17;7;11;6
"323";1495;1400;70;1020;42;13;2;7;77;68;40;17;7;11;6
"324";1495;1400;25;1020;42;13;2;7;77;68;40;17;7;11;6
"325";1495;1400;25;480;42;13;2;7;77;68;40;17;7;11;6
"326";1495;1400;25;480;15;13;2;7;77;68;40;17;7;11;6
"327";1495;1400;25;480;15;1;2;7;77;68;40;17;7;11;6
"328";1495;1400;25;480;15;1;5;7;77;68;40;17;7;11;6
"329";1495;1400;25;480;15;1;5;10;77;68;40;17;7;11;6
"330";1495;1400;25;480;15;1;5;10;38;68;40;17;7;11;6
"331";1495;1400;25;480;15;1;5;10;38;32;40;17;7;11;6
"332";1495;1400;25;480;15;1;5;10;38;32;22;17;7;11;6
"333";1495;1400;25;480;15;1;5;10;38;32;22;8;7;11;6
"334";1495;1400;25;480;15;1;5;10;38;32;22;8;1;11;6
"335";1495;1400;25;480;15;1;5;10;38;32;22;8;1;29;6
"336";1495;1400;25;480;15;1;5;10;38;32;22;8;1;29;3
"337";375;1400;55;480;51;21;6;8;38;44;34;8;3;29;3
"338";1047;1400;55;480;51;21;6;8;38;44;34;8;3;29;3
"339";1047;500;55;480;51;21;6;8;38;44;34;8;3;29;3
"340";1047;500;100;480;51;21;6;8;38;44;34;8;3;29;3
"341";1047;500;100;1020;51;21;6;8;38;44;34;8;3;29;3
"342";1047;500;100;1020;24;21;6;8;38;44;34;8;3;29;3
"343";1047;500;100;1020;24;9;6;8;38;44;34;8;3;29;3
"344";1047;500;100;1020;24;9;3;8;38;44;34;8;3;29;3
"345";1047;500;100;1020;24;9;3;11;38;44;34;8;3;29;3
"346";1047;500;100;1020;24;9;3;11;77;44;34;8;3;29;3
"347";1047;500;100;1020;24;9;3;11;77;80;34;8;3;29;3
"348";1047;500;100;1020;24;9;3;11;77;80;16;8;3;29;3
"349";1047;500;100;1020;24;9;3;11;77;80;16;17;3;29;3
"350";1047;500;100;1020;24;9;3;11;77;80;16;17;9;29;3
"351";1047;500;100;1020;24;9;3;11;77;80;16;17;9;11;3
"352";1047;500;100;1020;24;9;3;11;77;80;16;17;9;11;6
"353";823;1400;70;840;24;21;2;11;64;68;34;17;7;29;6
"354";1495;1400;70;840;24;21;2;11;64;68;34;17;7;29;6
"355";1495;500;70;840;24;21;2;11;64;68;34;17;7;29;6
"356";1495;500;25;840;24;21;2;11;64;68;34;17;7;29;6
"357";1495;500;25;300;24;21;2;11;64;68;34;17;7;29;6
"358";1495;500;25;300;51;21;2;11;64;68;34;17;7;29;6
"359";1495;500;25;300;51;9;2;11;64;68;34;17;7;29;6
"360";1495;500;25;300;51;9;5;11;64;68;34;17;7;29;6
"361";1495;500;25;300;51;9;5;8;64;68;34;17;7;29;6
"362";1495;500;25;300;51;9;5;8;25;68;34;17;7;29;6
"363";1495;500;25;300;51;9;5;8;25;32;34;17;7;29;6
"364";1495;500;25;300;51;9;5;8;25;32;16;17;7;29;6
"365";1495;500;25;300;51;9;5;8;25;32;16;8;7;29;6
"366";1495;500;25;300;51;9;5;8;25;32;16;8;1;29;6
"367";1495;500;25;300;51;9;5;8;25;32;16;8;1;11;6
"368";1495;500;25;300;51;9;5;8;25;32;16;8;1;11;3
"369";1495;2000;70;1200;15;21;1;10;90;44;28;14;9;35;2
"370";823;2000;70;1200;15;21;1;10;90;44;28;14;9;35;2
"371";823;1100;70;1200;15;21;1;10;90;44;28;14;9;35;2
"372";823;1100;25;1200;15;21;1;10;90;44;28;14;9;35;2
"373";823;1100;25;660;15;21;1;10;90;44;28;14;9;35;2
"374";823;1100;25;660;42;21;1;10;90;44;28;14;9;35;2
"375";823;1100;25;660;42;9;1;10;90;44;28;14;9;35;2
"376";823;1100;25;660;42;9;4;10;90;44;28;14;9;35;2
