DSAA
26
38
0 9
2	2	2	2	8	6	6	6	6	6	2	6	6	6	2	6	6	6	6	6	6	4	2	8	8	6
4	8	2	2	2	8	8	2	8	6	8	2	2	4	2	2	2	8	8	6	4	2	2	6	6	4
2	2	2	2	2	2	2	2	2	6	2	2	2	2	4	8	8	8	8	2	2	8	6	2	2	2
2	2	2	2	2	2	2	8	2	2	2	2	4	2	2	2	2	2	2	2	8	8	8	6	6	2
8	2	2	2	2	2	2	4	2	2	2	8	2	2	2	8	2	2	2	8	2	8	6	6	6	2
2	2	2	2	2	2	2	2	6	6	2	2	4	2	2	8	4	2	2	6	4	6	6	8	6	2
1	2	2	2	2	2	2	2	6	8	6	8	4	2	4	2	8	6	8	6	4	2	2	2	2	2
8	1	2	8	2	2	4	2	4	8	4	6	4	2	2	2	2	2	2	2	6	6	6	2	6	6
8	4	1	2	8	8	8	8	8	6	6	6	4	2	2	4	2	4	2	2	6	6	6	6	6	6
8	8	4	1	2	8	2	2	2	8	8	2	2	2	2	2	8	2	2	2	2	6	6	6	8	8
8	4	8	1	8	8	6	6	6	6	8	8	2	2	4	8	8	8	2	2	2	8	8	2	6	6
8	8	2	2	1	2	8	8	8	8	8	8	8	2	4	2	2	8	2	2	4	6	6	2	2	2
2	2	6	6	1	1	8	8	8	9	9	9	9	2	2	2	2	8	8	2	2	2	2	2	6	6
8	2	6	6	8	1	2	9	9	9	9	9	9	9	2	2	4	2	8	2	2	8	8	6	6	6
8	8	6	6	8	6	1	9	9	9	9	9	9	9	2	4	2	2	2	6	2	8	8	6	6	2
8	8	6	6	6	8	1	1	9	9	2	9	9	9	4	2	6	8	6	6	8	2	2	2	8	2
8	8	6	6	6	6	6	1	9	9	9	9	9	2	8	2	6	8	6	6	4	2	2	4	2	8
2	2	4	6	4	2	2	6	1	9	9	9	8	8	6	6	6	2	2	2	4	2	4	8	4	2
2	2	8	2	2	2	2	8	1	1	8	6	8	8	8	2	4	2	2	8	2	2	2	2	8	4
2	8	8	6	2	2	2	6	8	1	8	8	6	6	2	2	4	2	2	8	2	4	2	4	2	2
6	8	8	6	8	2	2	8	8	1	1	6	2	2	4	2	2	2	2	8	2	2	4	2	2	2
2	6	6	6	2	2	2	2	6	8	1	2	2	2	2	2	2	8	2	4	2	2	4	2	4	2
2	2	6	2	2	2	2	2	6	2	1	1	2	2	8	2	8	8	4	2	2	2	4	2	6	2
2	2	2	2	2	2	2	2	2	6	8	1	2	2	2	4	2	2	2	2	4	2	2	8	8	6
2	2	2	2	2	2	2	2	6	6	8	1	1	2	2	2	2	2	2	4	2	2	6	8	6	6
2	2	2	2	2	2	2	2	2	8	6	8	1	4	8	2	4	2	4	2	4	6	6	6	6	6
2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	4	2	2	2	6	6	6	6	4	4
2	2	2	2	2	2	2	2	2	2	2	4	2	1	4	2	8	2	2	2	6	6	2	4	2	4
6	6	2	2	2	2	2	2	2	2	2	2	4	2	1	2	8	8	8	8	2	4	4	4	4	2
2	6	6	8	8	2	2	2	2	2	2	6	8	8	1	2	8	8	2	2	2	4	2	4	2	2
2	2	2	6	8	6	6	2	8	4	8	8	8	8	4	1	2	8	2	8	2	2	2	2	2	2
2	2	2	2	2	6	6	8	8	2	2	8	2	8	2	1	2	2	4	2	4	2	2	4	2	4
4	6	6	4	2	8	6	6	6	2	2	8	8	2	2	1	1	2	2	2	8	2	2	2	4	2
2	6	6	2	8	2	6	6	8	2	8	4	2	2	2	2	1	2	4	2	8	2	2	4	2	4
4	2	8	2	8	8	2	6	6	2	6	6	8	8	6	6	1	1	2	2	4	2	2	2	8	8
2	4	2	2	6	2	2	2	8	2	2	8	2	2	2	2	4	1	4	2	4	2	2	2	2	2
8	4	2	4	2	2	4	2	2	2	4	6	2	4	8	4	2	1	2	4	2	2	2	2	2	2
2	2	2	4	8	2	8	8	2	8	8	6	2	6	8	8	2	1	1	2	4	2	2	4	2	2
